language	test_names	factor	b	se	p
Dutch	redun2b	length	0.17501536086980873	0.012639004241901557	5.896268227516657e-43
English	redun1	wordinfo	0.07768563410649122	0.014415697927186347	7.483110645807086e-8
English	redun2a	wordinfo	0.10506703341312564	0.01527019339237059	6.86407268222753e-12
English	redun2b	wordinfo	0.10968078990577083	0.01512393241604041	4.876615892599626e-13
English	redun1	length	0.3820644818342823	0.014415697927186303	4.793341264641414e-143
English	redun2a	length	-0.2301662185966367	0.015270193392370545	5.156933314126401e-50
English	redun2b	length	0.23747933356095033	0.015123932416040365	5.236065821466329e-54
Finnish	redun1	wordinfo	0.13515441921739588	0.012092373722352709	9.992256735377183e-29
Finnish	redun2a	wordinfo	0.10487354491462753	0.01269527188287802	1.7547791118594864e-16
Finnish	redun2b	wordinfo	0.14457973332130228	0.012379995190185355	3.4933958953170387e-31
Finnish	redun1	length	0.287268862330156	0.012092373722352676	1.9510527435501182e-119
Finnish	redun2a	length	-0.09152752929033084	0.012695271882877985	6.285570942930647e-13
Finnish	redun2b	length	0.1975602247663079	0.01237999519018532	3.3151803194657357e-56
French	redun1	wordinfo	0.12209544206641285	0.01300040510844755	8.420782165876704e-21
French	redun2a	wordinfo	0.10143701665452161	0.013328666567751224	3.190491749852478e-14
French	redun2b	wordinfo	0.14116367889641016	0.013211756307085605	2.1643131212925034e-26
French	redun1	length	0.2350660664218627	0.013000405108447553	4.7325221037570255e-71
French	redun2a	length	-0.15484310778343863	0.013328666567751227	7.640256138563126e-31
French	redun2b	length	0.14822719269824408	0.013211756307085607	6.695654971252246e-29
Georgian	redun1	wordinfo	0.12805683251612868	0.010997224239251665	4.48902091986496e-31
Georgian	redun2a	wordinfo	0.07589822030990064	0.011432992418335309	3.38610468474199e-11
Georgian	redun2b	wordinfo	0.1303774298617759	0.011145615321683375	2.429153148575385e-31
Georgian	redun1	length	0.25234127498392345	0.010997224239251657	1.0192160129015756e-112
Georgian	redun2a	length	-0.018314596099821865	0.0114329924183353	0.10921760706452369
Georgian	redun2b	length	0.1953500078199521	0.011145615321683367	1.8638170631383383e-67
German	redun1	wordinfo	0.1738100076167969	0.011858899500593451	6.445155801683112e-48
German	redun2a	wordinfo	0.16942629294305114	0.011978388362586856	8.576313923276206e-45
German	redun2b	wordinfo	0.18547939394356813	0.011811044977378686	1.2584148694455086e-54
German	redun1	length	0.11391596365163892	0.011858899500593423	1.0328422633038798e-21
German	redun2a	length	-0.002638084754562761	0.011978388362586826	0.8256931005970732
German	redun2b	length	0.12508086750559777	0.01181104497737866	5.24916430548316e-26
Hausa	redun1	wordinfo	0.07098233140588953	0.01615684187178795	1.1473138800595807e-5
Hausa	redun2a	wordinfo	0.10887355402546021	0.016226879220612927	2.248675245112636e-11
Hausa	redun2b	wordinfo	0.08838857152563988	0.016208826669357475	5.270807336656802e-8
Hausa	redun1	length	0.14953705199813333	0.01615684187178794	3.50622638722816e-20
Hausa	redun2a	length	-0.09412796436014373	0.016226879220612913	7.15124614833633e-9
Hausa	redun2b	length	0.11557617142199646	0.016208826669357464	1.1958996987083444e-12
Hebrew	redun1	wordinfo	0.052172778543325526	0.02062709297338879	0.011493954671785099
Hebrew	redun2a	wordinfo	0.05074803305442555	0.020980553546380402	0.015648043688454166
Hebrew	redun2b	wordinfo	0.0463752355794954	0.020681685446308256	0.02503431162381518
Hebrew	redun1	length	0.17646825154057816	0.020627092973388796	2.108515048496413e-17
Hebrew	redun2a	length	0.018197575046654233	0.02098055354638041	0.3858379185698194
Hebrew	redun2b	length	0.16447801269629794	0.020681685446308263	2.825964876298155e-15
Hungarian	redun1	wordinfo	0.14759489618319277	0.01287007118296145	3.971763930419562e-30
Hungarian	redun2a	wordinfo	0.05177771177210758	0.012847226477055614	5.6415046901522137e-5
Hungarian	redun2b	wordinfo	0.14775213289814704	0.012865184701415469	3.292736491749593e-30
Hungarian	redun1	length	0.02334427281988958	0.012870071182961487	0.0697528404466064
Hungarian	redun2a	length	-0.15307991501038606	0.01284722647705565	2.3067089599454526e-32
Hungarian	redun2b	length	-0.03868800237005452	0.012865184701415506	0.0026478921453797592
Italian	redun1	wordinfo	0.18053446827906688	0.012093042291002498	1.4239159607541506e-49
Italian	redun2a	wordinfo	0.20457141724419714	0.01201173058553655	1.165036540444862e-63
Italian	redun2b	wordinfo	0.21287027941100845	0.012118026397687295	1.6177871192104053e-67
Italian	redun1	length	0.14809902744108674	0.012093042291002477	4.171806845602221e-34
Italian	redun2a	length	-0.1593617882961713	0.012011730585536529	1.1797061481340359e-39
Italian	redun2b	length	0.07287494388026375	0.012118026397687272	1.9115932193760274e-9
Japanese	redun1	wordinfo	0.06693966024240368	0.030231132818372166	0.027053895871670054
Japanese	redun2a	wordinfo	0.04380677990274814	0.03289941832890829	0.18334054159364807
Japanese	redun2b	wordinfo	0.04906888144086622	0.030441262283952518	0.10732045691394987
Japanese	redun1	length	0.39680600035599617	0.030231132818372197	3.244187882145948e-36
Japanese	redun2a	length	0.11151504740439093	0.032899418328908324	7.295993243425996e-4
Japanese	redun2b	length	0.3871614202914841	0.03044126228395255	2.8796303210655393e-34
Kaqchikel	redun1	wordinfo	0.12384249764644496	0.01609894104398673	1.8539013494013634e-14
Kaqchikel	redun2a	wordinfo	0.01562830848883635	0.016444577377154677	0.3419926227500001
Kaqchikel	redun2b	wordinfo	0.10391289533068426	0.016434097683231126	2.8833694991401754e-10
Kaqchikel	redun1	length	0.2499266041439114	0.016098941043986827	1.2138423392312502e-52
Kaqchikel	redun2a	length	-0.20741994838809683	0.016444577377154778	1.0242449284592118e-35
Kaqchikel	redun2b	length	0.17432572450294323	0.016434097683231227	6.665951382207578e-26
Korean	redun1	wordinfo	0.014115907812964535	0.009190816733340284	0.12461076726977313
Korean	redun2a	wordinfo	0.18024728961109165	0.011102004197544233	2.5582910909800036e-58
Korean	redun2b	wordinfo	0.1171974331747928	0.010022231733775873	2.508339715416995e-31
Korean	redun1	length	0.5881754989881341	0.00919081673334032	0
Korean	redun2a	length	-0.13800269977118	0.011102004197544276	3.850951637184823e-35
Korean	redun2b	length	0.4497730144270545	0.010022231733775913	0
Malay	redun1	wordinfo	0.055911367634795345	0.012056251232078229	3.59165780434489e-6
Malay	redun2a	wordinfo	0.07959529066976884	0.011689010052259988	1.0637447700961806e-11
Malay	redun2b	wordinfo	0.062115510041655476	0.012104845802519337	2.954684955080677e-7
Malay	redun1	length	0.0921231535125726	0.012056251232078194	2.4495958132614118e-14
Malay	redun2a	length	-0.25680431485114835	0.011689010052259955	2.0654083719778364e-103
Malay	redun2b	length	0.005780299040648558	0.012104845802519302	0.6330076309517988
Russian	redun1	wordinfo	0.15827934263340612	0.011680092008863318	2.522103333030674e-41
Russian	redun2a	wordinfo	0.13052342876159656	0.011749203343524311	1.9359951084699354e-28
Russian	redun2b	wordinfo	0.1716086106592821	0.011737527087617116	1.013587621893555e-47
Russian	redun1	length	0.11844147274479098	0.011680092008863297	5.311493483581028e-24
Russian	redun2a	length	-0.14411645548604476	0.011749203343524292	3.0440324751219515e-34
Russian	redun2b	length	0.05290907806951263	0.011737527087617095	6.65848186766935e-6
Slovak	redun1	wordinfo	0.1286797434750553	0.012205487714275372	8.869546450584065e-26
Slovak	redun2a	wordinfo	0.03480448065188685	0.01232927144673939	0.004773458291564874
Slovak	redun2b	wordinfo	0.11204597423867023	0.012309144560316884	1.1539842237245726e-19
Slovak	redun1	length	0.14124952644687772	0.01220548771427537	1.1353159921608212e-30
Slovak	redun2a	length	-0.1328640616960646	0.012329271446739388	7.520744369986168e-27
Slovak	redun2b	length	0.09076032490197714	0.012309144560316882	1.8710546359431505e-13
Spanish	redun1	wordinfo	0.1371232322648905	0.012367128794525782	2.6299055581850557e-28
Spanish	redun2a	wordinfo	0.06700299370540197	0.01254689351754681	9.609749398696535e-8
Spanish	redun2b	wordinfo	0.13929671034315924	0.01244965453998048	8.642278437655498e-29
Spanish	redun1	length	0.13913185276197015	0.012367128794525768	4.3788221886558023e-29
Spanish	redun2a	length	-0.08395165181619128	0.012546893517546794	2.4074332440434547e-11
Spanish	redun2b	length	0.07986512165648747	0.012449654539980466	1.5102915935280445e-10
Swahili	redun1	wordinfo	0.0942203018378148	0.0116083721890524	5.718846432841954e-16
Swahili	redun2a	wordinfo	0.1519068374824452	0.012454646523498874	7.764579978462523e-34
Swahili	redun2b	wordinfo	0.11750189626889541	0.011741657359943926	2.1160995467224503e-23
Swahili	redun1	length	0.37521712901448245	0.011608372189052415	3.2796852714059887e-212
Swahili	redun2a	length	0.04085980351970424	0.012454646523498892	0.001041174967463161
Swahili	redun2b	length	0.34032800288627624	0.011741657359943942	1.654082350460224e-173
Tagalog	redun1	wordinfo	0.03000675306305438	0.012934057226783783	0.020375287243204362
Tagalog	redun2a	wordinfo	-0.01156578211039054	0.013035220904614755	0.37496815727557864
Tagalog	redun2b	wordinfo	0.01604779158559268	0.012915371461951429	0.2140879758738284
Tagalog	redun1	length	0.1475869041147498	0.012934057226783839	7.486891024790261e-30
Tagalog	redun2a	length	-0.09156614740840864	0.01303522090461481	2.3853159703529222e-12
Tagalog	redun2b	length	0.1608662752804732	0.012915371461951484	3.540704204565997e-35
Turkish	redun1	wordinfo	0.022410995923394836	0.014271268636099118	0.11639683973668753
Turkish	redun2a	wordinfo	0.004038581470680966	0.01423390662091666	0.7766296151012334
Turkish	redun2b	wordinfo	0.012705249004738047	0.014299160045653129	0.3742989589736009
Turkish	redun1	length	0.08279990271151132	0.014271268636099128	6.972609657849309e-9
Turkish	redun2a	length	-0.11212442135985497	0.01423390662091667	4.095388273251672e-15
Turkish	redun2b	length	0.057725795053889126	0.01429916004565314	5.4968420892720144e-5
Vietnamese	redun1	wordinfo	0.0645865679117707	0.011575870202906265	2.5070368405178714e-8
Vietnamese	redun2a	wordinfo	0.0550538018459591	0.01215246210880294	5.9926413652867054e-6
Vietnamese	redun2b	wordinfo	0.0699975184547133	0.011698445619219861	2.2960327037251434e-9
Vietnamese	redun1	length	0.3052924169243916	0.01157587020290626	5.75837142694304e-146
Vietnamese	redun2a	length	-0.07141752476510298	0.012152462108802936	4.382446336664087e-9
Vietnamese	redun2b	length	0.27090936875539845	0.011698445619219858	3.173630390628554e-114
