language	test_names	factor	b	se	p
Arabic	redun1	wordinfo	0.0627013941243181	0.022805027851366233	0.00602424057066393
Arabic	redun2a	wordinfo	0.0757410183867317	0.022873941611487085	9.457135796161301e-4
Arabic	redun2b	wordinfo	0.07392008225187209	0.022800865810056727	0.0012069215533540205
Arabic	redun1	length	0.07943727100070874	0.022805027851365962	5.06100992259618e-4
Arabic	redun2a	length	-0.034426573869872204	0.022873941611486814	0.1324706830177639
Arabic	redun2b	length	0.0710201521843737	0.022800865810056456	0.0018673308265166248
Armenian	redun1	wordinfo	0.1334895442507766	0.011800009129485355	2.0470405803411058e-29
Armenian	redun2a	wordinfo	0.1461392838822102	0.011650334356815025	1.0421816637935194e-35
Armenian	redun2b	wordinfo	0.176308146414674	0.011819588158146039	1.4839254124735923e-49
Armenian	redun1	length	0.12421742100922967	0.011800009129485298	1.0118025909231933e-25
Armenian	redun2a	length	-0.21076826778905428	0.01165033435681497	1.5843912135253018e-71
Armenian	redun2b	length	0.030284682413505393	0.011819588158145981	0.010420602081432629
Bengali	redun1	wordinfo	0.06501802597299727	0.013356862408264841	1.1609043906797486e-6
Bengali	redun2a	wordinfo	0.10824464895110092	0.013408250914555109	8.391329738172021e-16
Bengali	redun2b	wordinfo	0.05941250474581481	0.013431069474575272	9.902180184966246e-6
Bengali	redun1	length	0.18773149636139114	0.013356862408264765	4.278125654375856e-44
Bengali	redun2a	length	-0.1503790909879728	0.013408250914555034	7.141050129120034e-29
Bengali	redun2b	length	0.15957724948612897	0.013431069474575195	3.726046837489882e-32
Cantonese	redun1	wordinfo	0.039529026151345015	0.010683991717148256	2.1748458135177273e-4
Cantonese	redun2a	wordinfo	0.03488681963685282	0.012495303784144051	0.005253422811524069
Cantonese	redun2b	wordinfo	0.046458625008149866	0.010740768783174655	1.5445476041136403e-5
Cantonese	redun1	length	0.516365874123474	0.010683991717148218	0
Cantonese	redun2a	length	0.09088870040853686	0.01249530378414401	3.8965060239038547e-13
Cantonese	redun2b	length	0.5069566108748843	0.010740768783174618	0
Dutch	redun1	wordinfo	0.1267375509706713	0.01266314025450713	2.1224849343322392e-23
Dutch	redun2a	wordinfo	0.08362477957677258	0.01292498806933856	1.0563758565723367e-10
Dutch	redun2b	wordinfo	0.1250001866427445	0.012639004241901567	6.839275613615663e-23
Dutch	redun1	length	0.1640796985088864	0.012663140254507122	6.75627982538838e-38
Dutch	redun2a	length	0.042751056954572444	0.012924988069338549	9.463572357527217e-4
