i,word,freq,ipa,xsampa
0,ng,134390,['ŋ'],['N']
1,sa,119897,"['s', 'a']","['s', 'a']"
2,na,90160,"['n', 'a']","['n', 'a']"
3,ang,78498,"['ʔ', 'a', 'ŋ']","['?', 'a', 'N']"
4,mga,71625,"['m', 'ɡ', 'a']","['m', 'g', 'a']"
5,ay,60901,"['ʔ', 'a', 'j']","['?', 'a', 'j']"
6,at,47080,"['ʔ', 'a', 't']","['?', 'a', 't']"
7,Ang,28478,"['ʔ', 'a', 'ŋ']","['?', 'a', 'N']"
8,isang,26475,"['ʔ', 'i', 's', 'a', 'ŋ']","['?', 'i', 's', 'a', 'N']"
9,ito,14761,"['ʔ', 'i', 't', 'o']","['?', 'i', 't', 'o']"
10,noong,12440,"['n', 'o', 'o', 'ŋ']","['n', 'o', 'o', 'N']"
11,ni,12011,"['n', 'i']","['n', 'i']"
12,si,10554,"['s', 'i']","['s', 'i']"
13,o,9940,"['ʔ', 'o']","['?', 'o']"
14,bilang,9277,"['b', 'i', 'l', 'a', 'ŋ']","['b', 'i', 'l', 'a', 'N']"
15,kanyang,9014,"['k', 'a', 'ɲ', 'a', 'ŋ']","['k', 'a', 'J', 'a', 'N']"
16,hindi,8712,"['h', 'i', 'n', 'd', 'i']","['h', 'i', 'n', 'd', 'i']"
17,may,8683,"['m', 'a', 'j']","['m', 'a', 'j']"
18,para,7813,"['p', 'a', 'ɾ', 'a']","['p', 'a', '4', 'a']"
19,siya,7446,"['s', 'i', 'j', 'a']","['s', 'i', 'j', 'a']"
20,Sa,7426,"['s', 'a']","['s', 'a']"
21,mula,6814,"['m', 'u', 'l', 'a']","['m', 'u', 'l', 'a']"
22,nito,5872,"['n', 'i', 't', 'o']","['n', 'i', 't', 'o']"
23,kung,5265,"['k', 'u', 'ŋ']","['k', 'u', 'N']"
24,upang,5025,"['ʔ', 'u', 'p', 'a', 'ŋ']","['?', 'u', 'p', 'a', 'N']"
25,Noong,4218,"['n', 'o', 'o', 'ŋ']","['n', 'o', 'o', 'N']"
26,niya,4190,"['n', 'i', 'j', 'a']","['n', 'i', 'j', 'a']"
27,kanilang,3984,"['k', 'a', 'n', 'i', 'l', 'a', 'ŋ']","['k', 'a', 'n', 'i', 'l', 'a', 'N']"
28,rin,3901,"['ɾ', 'i', 'n']","['4', 'i', 'n']"
29,Ito,3633,"['ʔ', 'i', 't', 'o']","['?', 'i', 't', 'o']"
30,Si,3548,"['s', 'i']","['s', 'i']"
31,nang,3546,"['n', 'a', 'ŋ']","['n', 'a', 'N']"
32,din,3523,"['d', 'i', 'n']","['d', 'i', 'n']"
33,unang,3301,"['ʔ', 'u', 'n', 'a', 'ŋ']","['?', 'u', 'n', 'a', 'N']"
34,dahil,3297,"['d', 'a', 'h', 'i', 'l']","['d', 'a', 'h', 'i', 'l']"
35,isa,3259,"['ʔ', 'i', 's', 'a']","['?', 'i', 's', 'a']"
36,naging,3118,"['n', 'a', 'ɡ', 'i', 'ŋ']","['n', 'a', 'g', 'i', 'N']"
37,pa,3111,"['p', 'a']","['p', 'a']"
38,tao,2975,"['t', 'a', 'o']","['t', 'a', 'o']"
39,mas,2946,"['m', 'a', 's']","['m', 'a', 's']"
40,ibang,2941,"['ʔ', 'i', 'b', 'a', 'ŋ']","['?', 'i', 'b', 'a', 'N']"
41,hanggang,2897,"['h', 'a', 'ŋ', 'ɡ', 'a', 'ŋ']","['h', 'a', 'N', 'g', 'a', 'N']"
