i,word,freq,ipa,xsampa
72,тоҷик,1351,"['t', 'ɔ', 'd͡ʒ', 'i', 'k']","['t', 'O', 'dZ', 'i', 'k']"
73,доранд,1344,"['d', 'ɔ', 'r', 'æ', 'n', 'd']","['d', 'O', 'r', '{', 'n', 'd']"
74,гардид,1342,"['ɡ', 'æ', 'r', 'd', 'i', 'd']","['g', '{', 'r', 'd', 'i', 'd']"
75,буданд,1341,"['b', 'u', 'd', 'æ', 'n', 'd']","['b', 'u', 'd', '{', 'n', 'd']"
76,медиҳад,1341,"['m', 'e', 'd', 'i', 'h', 'æ', 'd']","['m', 'e', 'd', 'i', 'h', '{', 'd']"
77,Солҳои,1313,"['s', 'ɔ', 'l', 'h', 'ɔ', 'i']","['s', 'O', 'l', 'h', 'O', 'i']"
79,бораи,1289,"['b', 'ɔ', 'r', 'æ', 'i']","['b', 'O', 'r', '{', 'i']"
82,бошад,1247,"['b', 'ɔ', 'ʃ', 'æ', 'd']","['b', 'O', 'S', '{', 'd']"
83,иборат,1222,"['i', 'b', 'ɔ', 'r', 'æ', 't']","['i', 'b', 'O', 'r', '{', 't']"
84,садаи,1216,"['s', 'æ', 'd', 'æ', 'i']","['s', '{', 'd', '{', 'i']"
85,намуд,1210,"['n', 'æ', 'm', 'u', 'd']","['n', '{', 'm', 'u', 'd']"
87,намудааст,1197,"['n', 'æ', 'm', 'u', 'd', 'æ', 'æ', 's', 't']","['n', '{', 'm', 'u', 'd', '{', '{', 's', 't']"
88,бештар,1194,"['b', 'e', 'ʃ', 't', 'æ', 'r']","['b', 'e', 'S', 't', '{', 'r']"
89,инчунин,1176,"['i', 'n', 't͡ʃ', 'u', 'n', 'i', 'n']","['i', 'n', 'tS', 'u', 'n', 'i', 'n']"
90,мекард,1165,"['m', 'e', 'k', 'æ', 'r', 'd']","['m', 'e', 'k', '{', 'r', 'd']"
91,Барои,1144,"['b', 'æ', 'r', 'ɔ', 'i']","['b', '{', 'r', 'O', 'i']"
92,шуданд,1134,"['ʃ', 'u', 'd', 'æ', 'n', 'd']","['S', 'u', 'd', '{', 'n', 'd']"
93,асосии,1128,"['æ', 's', 'ɔ', 's', 'i', 'i']","['{', 's', 'O', 's', 'i', 'i']"
94,мебошанд,1124,"['m', 'e', 'b', 'ɔ', 'ʃ', 'æ', 'n', 'd']","['m', 'e', 'b', 'O', 'S', '{', 'n', 'd']"
96,Донишгоҳи,1104,"['d', 'ɔ', 'n', 'i', 'ʃ', 'ɡ', 'ɔ', 'h', 'i']","['d', 'O', 'n', 'i', 'S', 'g', 'O', 'h', 'i']"
97,давраи,1074,"['d', 'æ', 'v', 'r', 'æ', 'i']","['d', '{', 'v', 'r', '{', 'i']"
98,пас,1070,"['p', 'æ', 's']","['p', '{', 's']"
100,даст,1069,"['d', 'æ', 's', 't']","['d', '{', 's', 't']"
101,намуда,1065,"['n', 'æ', 'm', 'u', 'd', 'æ']","['n', '{', 'm', 'u', 'd', '{']"
103,чун,1056,"['t͡ʃ', 'u', 'n']","['tS', 'u', 'n']"
104,қисми,1038,"['q', 'i', 's', 'm', 'i']","['q', 'i', 's', 'm', 'i']"
105,ҷо,1026,"['d͡ʒ', 'ɔ']","['dZ', 'O']"
106,хеле,1025,"['χ', 'e', 'l', 'e']","['X', 'e', 'l', 'e']"
107,дод,1017,"['d', 'ɔ', 'd']","['d', 'O', 'd']"
108,будааст,1003,"['b', 'u', 'd', 'æ', 'æ', 's', 't']","['b', 'u', 'd', '{', '{', 's', 't']"
110,мактаби,978,"['m', 'æ', 'k', 't', 'æ', 'b', 'i']","['m', '{', 'k', 't', '{', 'b', 'i']"
111,ҳамин,968,"['h', 'æ', 'm', 'i', 'n']","['h', '{', 'm', 'i', 'n']"
112,баъзе,966,"['b', 'æ', 'ʔ', 'z', 'e']","['b', '{', '?', 'z', 'e']"
113,қарор,956,"['q', 'æ', 'r', 'ɔ', 'r']","['q', '{', 'r', 'O', 'r']"
114,Пас,949,"['p', 'æ', 's']","['p', '{', 's']"
115,ҳангоми,949,"['h', 'æ', 'n', 'ɡ', 'ɔ', 'm', 'i']","['h', '{', 'n', 'g', 'O', 'm', 'i']"
117,асри,945,"['æ', 's', 'r', 'i']","['{', 's', 'r', 'i']"
120,гирифта,935,"['ɡ', 'i', 'r', 'i', 'f', 't', 'æ']","['g', 'i', 'r', 'i', 'f', 't', '{']"
121,мегардад,935,"['m', 'e', 'ɡ', 'æ', 'r', 'd', 'æ', 'd']","['m', 'e', 'g', '{', 'r', 'd', '{', 'd']"
122,ҳазор,922,"['h', 'æ', 'z', 'ɔ', 'r']","['h', '{', 'z', 'O', 'r']"
