i,word,freq,ipa,xsampa
16816,Karsy,3,"['k', 'a', 'r', 's', 'y']","['k', 'a', 'r', 's', 'y']"
16818,Katy,3,"['k', 'a', 't', 'y']","['k', 'a', 't', 'y']"
16820,Kayadibi,3,"['k', 'a', 'y', 'a', 'd', 'i', 'b', 'i']","['k', 'a', 'y', 'a', 'd', 'i', 'b', 'i']"
16823,Keaton,3,"['k', 'e', 'a', 't', 'ə', 'n']","['k', 'e', 'a', 't', '@', 'n']"
16824,Keeling,3,"['k', 'e', 'e', 'l', 'i', 'ə̯', 'ŋ']","['k', 'e', 'e', 'l', 'i', '@_^', 'N']"
16825,Keene,3,"['k', 'e', 'e', 'n', 'e']","['k', 'e', 'e', 'n', 'e']"
16826,Keller,3,"['k', 'e', 'l', 'l', 'e', 'r']","['k', 'e', 'l', 'l', 'e', 'r']"
16828,Kemp,3,"['k', 'e', 'm', 'p']","['k', 'e', 'm', 'p']"
16829,Kemper,3,"['k', 'e', 'm', 'p', 'e', 'r']","['k', 'e', 'm', 'p', 'e', 'r']"
16830,Ken,3,"['k', 'e', 'n']","['k', 'e', 'n']"
16831,Kendrick,3,"['k', 'e', 'n', 'd', 'r', 'i', 'c', 'k']","['k', 'e', 'n', 'd', 'r', 'i', 'c', 'k']"
16833,Kenilworth,3,"['k', 'e', 'n', 'i', 'l', 'w', 'ə', 'r', 'tʰ']","['k', 'e', 'n', 'i', 'l', 'w', '@', 'r', 't_h']"
16834,Kenneth,3,"['k', 'ẽ', 'e', 'tʰ']","['k', 'e~', 'e', 't_h']"
16835,Kerr,3,"['k', 'e', 'r', 'r']","['k', 'e', 'r', 'r']"
16836,Keynes,3,"['k', 'e', 'y', 'n', 'e', 's']","['k', 'e', 'y', 'n', 'e', 's']"
16837,Kha,3,"['kʰ', 'a']","['k_h', 'a']"
16838,Khalifa,3,"['kʰ', 'a', 'l', 'i', 'f', 'a']","['k_h', 'a', 'l', 'i', 'f', 'a']"
16850,Khuan,3,"['kʰ', 'u̯', 'a', 'n']","['k_h', 'u_^', 'a', 'n']"
16879,Kimberly,3,"['k', 'i', 'm', 'b', 'e', 'r', 'l', 'y']","['k', 'i', 'm', 'b', 'e', 'r', 'l', 'y']"
16880,Kimura,3,"['k', 'i', 'm', 'u', 'r', 'a']","['k', 'i', 'm', 'u', 'r', 'a']"
