i,word,freq,ipa,xsampa
7102,St,22,"['s', 't']","['s', 't']"
7103,Town,22,"['t', 'o', 'w', 'n']","['t', 'o', 'w', 'n']"
7104,Unix,22,"['ɯ', 'ə̯', 'ɲ', 'i', 'ɕ']","['M', '@_^', 'J', 'i', 's\\']"
7366,Empire,21,"['e̞', 'm', 'p', 'i', 'z̩', 'e̞']","['e_o', 'm', 'p', 'i', 'z=', 'e_o']"
7371,Network,21,"['n', 'e̞', 't', 'w', 'o', 'z̩', 'k']","['n', 'e_o', 't', 'w', 'o', 'z=', 'k']"
7372,Protocol,21,"['p', 'z̩', 'o', 't', 'o', 'c', 'o', 'l']","['p', 'z=', 'o', 't', 'o', 'c', 'o', 'l']"
7378,län,21,"['l', 'ä', 'n']","['l', 'a_""', 'n']"
7654,Francisco,20,"['f', 'z̩', 'ã', 'c', 'i', 's', 'c', 'o']","['f', 'z=', 'a~', 'c', 'i', 's', 'c', 'o']"
7655,Heinrich,20,"['h', 'e̞', 'ɪ', 'ɲ', 'z̩', 'i', 'c', 'h']","['h', 'e_o', 'I', 'J', 'z=', 'i', 'c', 'h']"
7662,Simon,20,"['s', 'i', 'm', 'ʊ', 'ŋ']","['s', 'i', 'm', 'U', 'N']"
7664,York,20,"['y', 'o', 'z̩', 'k']","['y', 'o', 'z=', 'k']"
7665,el,20,"['e̞', 'l']","['e_o', 'l']"
7666,iOS,20,"['i̯', 'o', 's']","['i_^', 'o', 's']"
7667,or,20,"['o', 'z̩']","['o', 'z=']"
7970,History,19,"['h', 'i', 's', 't', 'o', 'z̩', 'y']","['h', 'i', 's', 't', 'o', 'z=', 'y']"
7978,Otto,19,"['o', 't', 't', 'o']","['o', 't', 't', 'o']"
7979,P,19,['p'],['p']
7981,Rock,19,"['z̩', 'o', 'c', 'k']","['z=', 'o', 'c', 'k']"
8312,E,18,['e̞'],['e_o']
8317,Henri,18,"['h', 'ə', 'ɲ', 'z̩', 'i']","['h', '@', 'J', 'z=', 'i']"
8320,Jan,18,"['t͡ɕ', 'ã']","['ts\\', 'a~']"
8321,Johannes,18,"['t͡ɕ', 'o', 'h', 'ã', 'n', 'e̞', 's']","['ts\\', 'o', 'h', 'a~', 'n', 'e_o', 's']"
8322,Los,18,"['l', 'o', 's']","['l', 'o', 's']"
8327,Python,18,"['p', 'y', 'tʰ', 'ʊ', 'ŋ']","['p', 'y', 't_h', 'U', 'N']"
8334,e,18,['e̞'],['e_o']
8335,ken,18,"['k', 'ə', 'ɲ']","['k', '@', 'J']"
8338,line,18,"['l', 'ɪ', 'ɲ', 'e̞']","['l', 'I', 'J', 'e_o']"
8684,IP,17,"['i', 'p']","['i', 'p']"
8685,Jane,17,"['t͡ɕ', 'ã', 'e̞']","['ts\\', 'a~', 'e_o']"
8689,NO,17,"['n', 'o']","['n', 'o']"
9090,Ann,16,"['ã', 'n']","['a~', 'n']"
