i,word,freq,ipa,xsampa
74,Waxa,2455,"['w', 'æ', 'ħ', 'æ']","['w', '{', 'X\\', '{']"
75,Ethiopia,2433,"['e', 't', 'h', 'i', 'ɔ', 'p', 'i', 'æ']","['e', 't', 'h', 'i', 'O', 'p', 'i', '{']"
76,balse,2431,"['b', 'æ', 'l', 's', 'e']","['b', '{', 'l', 's', 'e']"
77,qof,2412,"['q', 'ɔ', 'f']","['q', 'O', 'f']"
78,kaga,2409,"['k', 'æ', 'ɡ', 'æ']","['k', '{', 'g', '{']"
79,lahaa,2404,"['l', 'æ', 'h', 'æː']","['l', '{', 'h', '{:']"
80,weyn,2383,"['w', 'e', 'j', 'n']","['w', 'e', 'j', 'n']"
81,iska,2353,"['i', 's', 'k', 'æ']","['i', 's', 'k', '{']"
82,Madaxweynaha,2339,"['m', 'æ', 'd', 'æ', 'ħ', 'w', 'e', 'j', 'n', 'æ', 'h', 'æ']","['m', '{', 'd', '{', 'X\\', 'w', 'e', 'j', 'n', '{', 'h', '{']"
83,sugan,2334,"['s', 'u', 'ɡ', 'æ', 'n']","['s', 'u', 'g', '{', 'n']"
84,sidii,2321,"['s', 'i', 'd', 'iː']","['s', 'i', 'd', 'i:']"
85,loogu,2278,"['l', 'ɔː', 'ɡ', 'u']","['l', 'O:', 'g', 'u']"
86,inta,2266,"['i', 'n', 't', 'æ']","['i', 'n', 't', '{']"
87,isaga,2195,"['i', 's', 'æ', 'ɡ', 'æ']","['i', 's', '{', 'g', '{']"
89,kadib,2182,"['k', 'æ', 'd', 'i', 'b']","['k', '{', 'd', 'i', 'b']"
90,jira,2178,"['d͡ʒ', 'i', 'r', 'æ']","['dZ', 'i', 'r', '{']"
91,Waxaa,2133,"['w', 'æ', 'ħ', 'æː']","['w', '{', 'X\\', '{:']"
92,cusub,2124,"['ʕ', 'u', 's', 'u', 'b']","['?\\', 'u', 's', 'u', 'b']"
93,yidhi,2109,"['j', 'i', 'ɖ', 'i']","['j', 'i', 'd`', 'i']"
94,Cali,2096,"['ʕ', 'æ', 'l', 'i']","['?\\', '{', 'l', 'i']"
95,Maxamed,2062,"['m', 'æ', 'ħ', 'æ', 'm', 'e', 'd']","['m', '{', 'X\\', '{', 'm', 'e', 'd']"
96,jiray,2026,"['d͡ʒ', 'i', 'r', 'æ', 'j']","['dZ', 'i', 'r', '{', 'j']"
97,marka,1987,"['m', 'æ', 'r', 'k', 'æ']","['m', '{', 'r', 'k', '{']"
98,kooxaha,1976,"['k', 'ɔː', 'ħ', 'æ', 'h', 'æ']","['k', 'O:', 'X\\', '{', 'h', '{']"
99,socda,1963,"['s', 'ɔ', 'ʕ', 'd', 'æ']","['s', 'O', '?\\', 'd', '{']"
100,reer,1941,"['r', 'eː', 'r']","['r', 'e:', 'r']"
101,ahayd,1937,"['æ', 'h', 'æ', 'j', 'd']","['{', 'h', '{', 'j', 'd']"
102,kasoo,1925,"['k', 'æ', 's', 'ɔː']","['k', '{', 's', 'O:']"
103,Gobolka,1914,"['ɡ', 'ɔ', 'b', 'ɔ', 'l', 'k', 'æ']","['g', 'O', 'b', 'O', 'l', 'k', '{']"
104,is,1904,"['i', 's']","['i', 's']"
105,kula,1863,"['k', 'u', 'l', 'æ']","['k', 'u', 'l', '{']"
106,dowlada,1856,"['d', 'ɔ', 'w', 'l', 'æ', 'd', 'æ']","['d', 'O', 'w', 'l', '{', 'd', '{']"
107,degmada,1854,"['d', 'e', 'ɡ', 'm', 'æ', 'd', 'æ']","['d', 'e', 'g', 'm', '{', 'd', '{']"
108,doono,1829,"['d', 'ɔː', 'n', 'ɔ']","['d', 'O:', 'n', 'O']"
109,ha,1829,"['h', 'æ']","['h', '{']"
110,gobolka,1826,"['ɡ', 'ɔ', 'b', 'ɔ', 'l', 'k', 'æ']","['g', 'O', 'b', 'O', 'l', 'k', '{']"
111,aysan,1819,"['æ', 'j', 's', 'æ', 'n']","['{', 'j', 's', '{', 'n']"
112,Axmed,1812,"['æ', 'ħ', 'm', 'e', 'd']","['{', 'X\\', 'm', 'e', 'd']"
113,Shariif,1794,"['ʃ', 'æ', 'r', 'iː', 'f']","['S', '{', 'r', 'i:', 'f']"
114,meel,1779,"['m', 'eː', 'l']","['m', 'e:', 'l']"
115,ilaa,1775,"['i', 'l', 'æː']","['i', 'l', '{:']"
116,labada,1761,"['l', 'æ', 'b', 'æ', 'd', 'æ']","['l', '{', 'b', '{', 'd', '{']"
117,ayay,1758,"['æ', 'j', 'æ', 'j']","['{', 'j', '{', 'j']"
118,gaar,1756,"['ɡ', 'æː', 'r']","['g', '{:', 'r']"
119,haddii,1741,"['h', 'æ', 'd', 'd', 'iː']","['h', '{', 'd', 'd', 'i:']"
120,aanu,1725,"['æː', 'n', 'u']","['{:', 'n', 'u']"
121,doonaan,1709,"['d', 'ɔː', 'n', 'æː', 'n']","['d', 'O:', 'n', '{:', 'n']"
122,Waa,1701,"['w', 'æː']","['w', '{:']"
123,Madaxweyne,1670,"['m', 'æ', 'd', 'æ', 'ħ', 'w', 'e', 'j', 'n', 'e']","['m', '{', 'd', '{', 'X\\', 'w', 'e', 'j', 'n', 'e']"
124,markaana,1660,"['m', 'æ', 'r', 'k', 'æː', 'n', 'æ']","['m', '{', 'r', 'k', '{:', 'n', '{']"
125,nin,1658,"['n', 'i', 'n']","['n', 'i', 'n']"
126,ayaan,1653,"['æ', 'j', 'æː', 'n']","['{', 'j', '{:', 'n']"
127,Sheekh,1652,"['ʃ', 'eː', 'χ']","['S', 'e:', 'X']"
128,sidoo,1641,"['s', 'i', 'd', 'ɔː']","['s', 'i', 'd', 'O:']"
129,dagaal,1633,"['d', 'æ', 'ɡ', 'æː', 'l']","['d', '{', 'g', '{:', 'l']"
130,kuwo,1630,"['k', 'u', 'w', 'ɔ']","['k', 'u', 'w', 'O']"
131,mar,1617,"['m', 'æ', 'r']","['m', '{', 'r']"
132,Xasan,1610,"['ħ', 'æ', 's', 'æ', 'n']","['X\\', '{', 's', '{', 'n']"
133,ayna,1593,"['æ', 'j', 'n', 'æ']","['{', 'j', 'n', '{']"
134,kuwaasoo,1580,"['k', 'u', 'w', 'æː', 's', 'ɔː']","['k', 'u', 'w', '{:', 's', 'O:']"
135,laba,1561,"['l', 'æ', 'b', 'æ']","['l', '{', 'b', '{']"
136,jiraan,1560,"['d͡ʒ', 'i', 'r', 'æː', 'n']","['dZ', 'i', 'r', '{:', 'n']"
137,Waxaan,1559,"['w', 'æ', 'ħ', 'æː', 'n']","['w', '{', 'X\\', '{:', 'n']"
138,Magaalada,1551,"['m', 'æ', 'ɡ', 'æː', 'l', 'æ', 'd', 'æ']","['m', '{', 'g', '{:', 'l', '{', 'd', '{']"
139,Soomaaliyeed,1544,"['s', 'ɔː', 'm', 'æː', 'l', 'i', 'j', 'eː', 'd']","['s', 'O:', 'm', '{:', 'l', 'i', 'j', 'e:', 'd']"
140,qaaday,1540,"['q', 'æː', 'd', 'æ', 'j']","['q', '{:', 'd', '{', 'j']"
141,maamulka,1516,"['m', 'æː', 'm', 'u', 'l', 'k', 'æ']","['m', '{:', 'm', 'u', 'l', 'k', '{']"
142,inaan,1501,"['i', 'n', 'æː', 'n']","['i', 'n', '{:', 'n']"
143,ciidamo,1493,"['ʕ', 'iː', 'd', 'æ', 'm', 'ɔ']","['?\\', 'i:', 'd', '{', 'm', 'O']"
144,jirin,1486,"['d͡ʒ', 'i', 'r', 'i', 'n']","['dZ', 'i', 'r', 'i', 'n']"
145,gacanta,1468,"['ɡ', 'æ', 'ʕ', 'æ', 'n', 't', 'æ']","['g', '{', '?\\', '{', 'n', 't', '{']"
146,Ciidamada,1466,"['ʕ', 'iː', 'd', 'æ', 'm', 'æ', 'd', 'æ']","['?\\', 'i:', 'd', '{', 'm', '{', 'd', '{']"
147,dhan,1464,"['ɖ', 'æ', 'n']","['d`', '{', 'n']"
148,iyagoo,1461,"['i', 'j', 'æ', 'ɡ', 'ɔː']","['i', 'j', '{', 'g', 'O:']"
149,sheegeen,1460,"['ʃ', 'eː', 'ɡ', 'eː', 'n']","['S', 'e:', 'g', 'e:', 'n']"
150,halka,1439,"['h', 'æ', 'l', 'k', 'æ']","['h', '{', 'l', 'k', '{']"
151,walba,1434,"['w', 'æ', 'l', 'b', 'æ']","['w', '{', 'l', 'b', '{']"
152,hadda,1425,"['h', 'æ', 'd', 'd', 'æ']","['h', '{', 'd', 'd', '{']"
153,aanay,1418,"['æː', 'n', 'æ', 'j']","['{:', 'n', '{', 'j']"
154,karo,1413,"['k', 'æ', 'r', 'ɔ']","['k', '{', 'r', 'O']"
155,Hargeysa,1402,"['h', 'æ', 'r', 'ɡ', 'e', 'j', 's', 'æ']","['h', '{', 'r', 'g', 'e', 'j', 's', '{']"
156,dagaalka,1388,"['d', 'æ', 'ɡ', 'æː', 'l', 'k', 'æ']","['d', '{', 'g', '{:', 'l', 'k', '{']"
157,isugu,1379,"['i', 's', 'u', 'ɡ', 'u']","['i', 's', 'u', 'g', 'u']"
158,leeyahay,1368,"['l', 'eː', 'j', 'æ', 'h', 'æ', 'j']","['l', 'e:', 'j', '{', 'h', '{', 'j']"
159,baa,1360,"['b', 'æː']","['b', '{:']"
160,duwan,1360,"['d', 'u', 'w', 'æ', 'n']","['d', 'u', 'w', '{', 'n']"
161,taas,1348,"['t', 'æː', 's']","['t', '{:', 's']"
162,kooxda,1336,"['k', 'ɔː', 'ħ', 'd', 'æ']","['k', 'O:', 'X\\', 'd', '{']"
163,laakiin,1336,"['l', 'æː', 'k', 'iː', 'n']","['l', '{:', 'k', 'i:', 'n']"
164,shacabka,1336,"['ʃ', 'æ', 'ʕ', 'æ', 'b', 'k', 'æ']","['S', '{', '?\\', '{', 'b', 'k', '{']"
165,dhinaca,1331,"['ɖ', 'i', 'n', 'æ', 'ʕ', 'æ']","['d`', 'i', 'n', '{', '?\\', '{']"
166,shalay,1324,"['ʃ', 'æ', 'l', 'æ', 'j']","['S', '{', 'l', '{', 'j']"
167,Sidoo,1315,"['s', 'i', 'd', 'ɔː']","['s', 'i', 'd', 'O:']"
168,Wasiirka,1300,"['w', 'æ', 's', 'iː', 'r', 'k', 'æ']","['w', '{', 's', 'i:', 'r', 'k', '{']"
169,yar,1290,"['j', 'æ', 'r']","['j', '{', 'r']"
170,AMISOM,1289,"['æ', 'm', 'i', 's', 'ɔ', 'm']","['{', 'm', 'i', 's', 'O', 'm']"
171,Itoobiya,1286,"['i', 't', 'ɔː', 'b', 'i', 'j', 'æ']","['i', 't', 'O:', 'b', 'i', 'j', '{']"
172,jirto,1284,"['d͡ʒ', 'i', 'r', 't', 'ɔ']","['dZ', 'i', 'r', 't', 'O']"
173,iyada,1280,"['i', 'j', 'æ', 'd', 'æ']","['i', 'j', '{', 'd', '{']"
174,Ma,1277,"['m', 'æ']","['m', '{']"
175,guud,1275,"['ɡ', 'uː', 'd']","['g', 'u:', 'd']"
176,weli,1275,"['w', 'e', 'l', 'i']","['w', 'e', 'l', 'i']"
177,halkaas,1273,"['h', 'æ', 'l', 'k', 'æː', 's']","['h', '{', 'l', 'k', '{:', 's']"
178,Kenya,1271,"['k', 'e', 'n', 'j', 'æ']","['k', 'e', 'n', 'j', '{']"
179,waxayna,1270,"['w', 'æ', 'ħ', 'æ', 'j', 'n', 'æ']","['w', '{', 'X\\', '{', 'j', 'n', '{']"
180,gudaha,1265,"['ɡ', 'u', 'd', 'æ', 'h', 'æ']","['g', 'u', 'd', '{', 'h', '{']"
181,dowladda,1244,"['d', 'ɔ', 'w', 'l', 'æ', 'd', 'd', 'æ']","['d', 'O', 'w', 'l', '{', 'd', 'd', '{']"
182,ahayn,1225,"['æ', 'h', 'æ', 'j', 'n']","['{', 'h', '{', 'j', 'n']"
183,baxay,1221,"['b', 'æ', 'ħ', 'æ', 'j']","['b', '{', 'X\\', '{', 'j']"
184,wixii,1221,"['w', 'i', 'ħ', 'iː']","['w', 'i', 'X\\', 'i:']"
185,go,1217,"['ɡ', 'ɔ']","['g', 'O']"
186,Afrika,1200,"['æ', 'f', 'r', 'i', 'k', 'æ']","['{', 'f', 'r', 'i', 'k', '{']"
187,horjeeda,1197,"['h', 'ɔ', 'r', 'd͡ʒ', 'eː', 'd', 'æ']","['h', 'O', 'r', 'dZ', 'e:', 'd', '{']"
188,qayb,1194,"['q', 'æ', 'j', 'b']","['q', '{', 'j', 'b']"
189,sheegtay,1194,"['ʃ', 'eː', 'ɡ', 't', 'æ', 'j']","['S', 'e:', 'g', 't', '{', 'j']"
190,sheegey,1192,"['ʃ', 'eː', 'ɡ', 'e', 'j']","['S', 'e:', 'g', 'e', 'j']"
191,Baydhabo,1188,"['b', 'æ', 'j', 'ɖ', 'æ', 'b', 'ɔ']","['b', '{', 'j', 'd`', '{', 'b', 'O']"
192,wuxuuna,1171,"['w', 'u', 'ħ', 'uː', 'n', 'æ']","['w', 'u', 'X\\', 'u:', 'n', '{']"
193,baahan,1167,"['b', 'æː', 'h', 'æ', 'n']","['b', '{:', 'h', '{', 'n']"
194,muddo,1163,"['m', 'u', 'd', 'd', 'ɔ']","['m', 'u', 'd', 'd', 'O']"
195,Cadde,1160,"['ʕ', 'æ', 'd', 'd', 'e']","['?\\', '{', 'd', 'd', 'e']"
196,qaar,1151,"['q', 'æː', 'r']","['q', '{:', 'r']"
197,nabad,1150,"['n', 'æ', 'b', 'æ', 'd']","['n', '{', 'b', '{', 'd']"
198,galay,1148,"['ɡ', 'æ', 'l', 'æ', 'j']","['g', '{', 'l', '{', 'j']"
