i,word,freq,ipa,xsampa
23475,มหันตภัยจากกัมมันตภาพรังสี,3,"['m', 'a', 'h', 'a', 'n', 't', 'a', 'pʰ', 'a', 'j', 't͡ɕ', 'aː', 'k', 'a', 'k', 'a', 'm', 'm', 'a', 'n', 'o', 't', 'pʰ', 'aː', 'pʰ', 'r', 'a', 'ŋ', 's', 'iː']","['m', 'a', 'h', 'a', 'n', 't', 'a', 'p_h', 'a', 'j', 'ts\\', 'a:', 'k', 'a', 'k', 'a', 'm', 'm', 'a', 'n', 'o', 't', 'p_h', 'a:', 'p_h', 'r', 'a', 'N', 's', 'i:']"
23477,มหาดไทยระบุ,3,"['m', 'a', 'h', 'aː', 't', 'tʰ', 'a', 'j', 'r', 'a', 'b', 'u', 'ʔ']","['m', 'a', 'h', 'a:', 't', 't_h', 'a', 'j', 'r', 'a', 'b', 'u', '?']"
23489,มอญ,3,"['m', 'ɔː', 'j']","['m', 'O:', 'j']"
23491,มอบตัวสภ,3,"['m', 'ɔː', 'b', 't', 'uː', 'a̯', 's', 'o', 'p']","['m', 'O:', 'b', 't', 'u:', 'a_^', 's', 'o', 'p']"
23492,มอบทุน,3,"['m', 'ɔː', 'b', 'tʰ', 'u', 'n']","['m', 'O:', 'b', 't_h', 'u', 'n']"
23506,มัก,3,"['m', 'a', 'k']","['m', 'a', 'k']"
23508,มังกรไฟ,3,"['m', 'a', 'ŋ', 'k', 'r', 'a', 'f', 'a', 'j']","['m', 'a', 'N', 'k', 'r', 'a', 'f', 'a', 'j']"
23511,มัว,3,"['m', 'uː', 'a̯']","['m', 'u:', 'a_^']"
23531,มาตลอด,3,"['m', 'aː', 't', 'l', 'ɔː', 't']","['m', 'a:', 't', 'l', 'O:', 't']"
23532,มาถวายพระพร,3,"['m', 'aː', 't', 'w', 'aː', 'j', 'o', 'p', 'r', 'a', 'pʰ', 'o', 'n']","['m', 'a:', 't', 'w', 'a:', 'j', 'o', 'p', 'r', 'a', 'p_h', 'o', 'n']"
23533,มาถึง,3,"['m', 'aː', 'tʰ', 'ɯ', 'ŋ']","['m', 'a:', 't_h', 'M', 'N']"
23534,มานะ,3,"['m', 'aː', 'n', 'a', 'ʔ']","['m', 'a:', 'n', 'a', '?']"
23536,มาฝาก,3,"['m', 'aː', 'f', 'aː', 'k']","['m', 'a:', 'f', 'a:', 'k']"
23538,มาย,3,"['m', 'aː', 'j']","['m', 'a:', 'j']"
23539,มายสเปซ,3,"['m', 'aː', 'j', 's', 'a', 'p', 'eː', 't']","['m', 'a:', 'j', 's', 'a', 'p', 'e:', 't']"
23540,มายา,3,"['m', 'aː', 'j', 'aː']","['m', 'a:', 'j', 'a:']"
23541,มาร,3,"['m', 'aː', 'n']","['m', 'a:', 'n']"
23542,มาราธอน,3,"['m', 'aː', 'r', 'aː', 'tʰ', 'ɔː', 'n']","['m', 'a:', 'r', 'a:', 't_h', 'O:', 'n']"
23543,มาริยง,3,"['m', 'aː', 'r', 'i', 'j', 'o', 'ŋ']","['m', 'a:', 'r', 'i', 'j', 'o', 'N']"
23572,มาลัย,3,"['m', 'aː', 'l', 'a', 'j']","['m', 'a:', 'l', 'a', 'j']"
23573,มาลัยไทยรัฐ,3,"['m', 'aː', 'l', 'a', 'j', 'tʰ', 'a', 'j', 'r', 'a', 't']","['m', 'a:', 'l', 'a', 'j', 't_h', 'a', 'j', 'r', 'a', 't']"
23574,มาลา,3,"['m', 'aː', 'l', 'aː']","['m', 'a:', 'l', 'a:']"
23576,มาส,3,"['m', 'aː', 't']","['m', 'a:', 't']"
23578,มาฮาน,3,"['m', 'aː', 'h', 'aː', 'n']","['m', 'a:', 'h', 'a:', 'n']"
23580,มาเคดา,3,"['m', 'aː', 'kʰ', 'eː', 'd', 'aː']","['m', 'a:', 'k_h', 'e:', 'd', 'a:']"
23582,มาเมืองไทย,3,"['m', 'aː', 'm', 'ɯː', 'a̯', 'ŋ', 'tʰ', 'a', 'j']","['m', 'a:', 'm', 'M:', 'a_^', 'N', 't_h', 'a', 'j']"
23593,มิตซูบิชิ,3,"['m', 'i', 't', 's', 'uː', 'b', 'i', 't͡ɕʰ', 'i', 'ʔ']","['m', 'i', 't', 's', 'u:', 'b', 'i', 'ts\\_h', 'i', '?']"
23594,มิตติ,3,"['m', 'i', 't', 't', 'i', 'ʔ']","['m', 'i', 't', 't', 'i', '?']"
23595,มิตรชัย,3,"['m', 'i', 't', 'r', 'a', 't͡ɕʰ', 'a', 'j']","['m', 'i', 't', 'r', 'a', 'ts\\_h', 'a', 'j']"
23597,มิถุนาประชาธิปไตย,3,"['m', 'i', 'tʰ', 'u', 'n', 'aː', 'p', 'r', 'a', 't͡ɕʰ', 'aː', 'tʰ', 'i', 'p', 't', 'a', 'j']","['m', 'i', 't_h', 'u', 'n', 'a:', 'p', 'r', 'a', 'ts\\_h', 'a:', 't_h', 'i', 'p', 't', 'a', 'j']"
23602,มิว,3,"['m', 'i', 'w']","['m', 'i', 'w']"
23603,มิวสิกวีดิโอ,3,"['m', 'i', 'w', 's', 'i', 'k', 'w', 'iː', 'd', 'i', 'ʔ', 'oː']","['m', 'i', 'w', 's', 'i', 'k', 'w', 'i:', 'd', 'i', '?', 'o:']"
23608,มีการประชุม,3,"['m', 'iː', 'k', 'aː', 'n', 'p', 'r', 'a', 't͡ɕʰ', 'u', 'm']","['m', 'i:', 'k', 'a:', 'n', 'p', 'r', 'a', 'ts\\_h', 'u', 'm']"
