i,word,freq,ipa,xsampa
0,te,183398,"['t', 'e']","['t', 'e']"
1,i,105899,['i'],['i']
2,ki,85814,"['k', 'i']","['k', 'i']"
3,o,69200,['o'],['o']
4,e,65390,['e'],['e']
5,a,62596,['a'],['a']
6,ka,39851,"['k', 'a']","['k', 'a']"
7,nga,36476,"['ŋ', 'a']","['N', 'a']"
8,ko,28611,"['k', 'o']","['k', 'o']"
9,ana,28222,"['a', 'n', 'a']","['a', 'n', 'a']"
10,he,27125,"['h', 'e']","['h', 'e']"
11,ia,26715,"['i', 'a']","['i', 'a']"
13,mea,19731,"['m', 'e', 'a']","['m', 'e', 'a']"
14,hoki,18565,"['h', 'o', 'k', 'i']","['h', 'o', 'k', 'i']"
15,me,17714,"['m', 'e']","['m', 'e']"
16,atu,16084,"['a', 't', 'u']","['a', 't', 'u']"
17,ai,15288,"['a', 'i']","['a', 'i']"
18,mai,15105,"['m', 'a', 'i']","['m', 'a', 'i']"
19,kia,14830,"['k', 'i', 'a']","['k', 'i', 'a']"
20,ahau,13369,"['a', 'h', 'a', 'u']","['a', 'h', 'a', 'u']"
21,Te,13368,"['t', 'e']","['t', 'e']"
22,ratou,13208,"['r', 'a', 't', 'o', 'u']","['r', 'a', 't', 'o', 'u']"
23,ano,12212,"['a', 'n', 'o']","['a', 'n', 'o']"
24,nei,12098,"['n', 'e', 'i']","['n', 'e', 'i']"
25,hei,11567,"['h', 'e', 'i']","['h', 'e', 'i']"
26,Ko,11513,"['k', 'o']","['k', 'o']"
27,tau,11235,"['t', 'a', 'u']","['t', 'a', 'u']"
28,I,10515,['i'],['i']
29,tangata,10492,"['t', 'a', 'ŋ', 'a', 't', 'a']","['t', 'a', 'N', 'a', 't', 'a']"
30,Ka,9667,"['k', 'a']","['k', 'a']"
31,koe,9357,"['k', 'o', 'e']","['k', 'o', 'e']"
32,mahi,8580,"['m', 'a', 'h', 'i']","['m', 'a', 'h', 'i']"
33,katoa,8433,"['k', 'a', 't', 'o', 'a']","['k', 'a', 't', 'o', 'a']"
34,mo,8357,"['m', 'o']","['m', 'o']"
35,Na,8097,"['n', 'a']","['n', 'a']"
36,tona,7908,"['t', 'o', 'n', 'a']","['t', 'o', 'n', 'a']"
37,He,7861,"['h', 'e']","['h', 'e']"
38,haere,7807,"['h', 'a', 'e', 'r', 'e']","['h', 'a', 'e', 'r', 'e']"
39,whenua,7665,"['f', 'e', 'n', 'u', 'a']","['f', 'e', 'n', 'u', 'a']"
40,Ihowa,7573,"['i', 'h', 'o', 'w', 'a']","['i', 'h', 'o', 'w', 'a']"
41,kua,7561,"['k', 'u', 'a']","['k', 'u', 'a']"
42,tana,7557,"['t', 'a', 'n', 'a']","['t', 'a', 'n', 'a']"
43,ake,7516,"['a', 'k', 'e']","['a', 'k', 'e']"
44,tenei,7327,"['t', 'e', 'n', 'e', 'i']","['t', 'e', 'n', 'e', 'i']"
45,tonu,6964,"['t', 'o', 'n', 'u']","['t', 'o', 'n', 'u']"
46,iwi,6817,"['i', 'w', 'i']","['i', 'w', 'i']"
47,koutou,6762,"['k', 'o', 'u', 't', 'o', 'u']","['k', 'o', 'u', 't', 'o', 'u']"
48,E,6670,['e'],['e']
49,kei,6359,"['k', 'e', 'i']","['k', 'e', 'i']"
50,ra,6358,"['r', 'a']","['r', 'a']"
51,roto,6208,"['r', 'o', 't', 'o']","['r', 'o', 't', 'o']"
52,tetahi,6127,"['t', 'e', 't', 'a', 'h', 'i']","['t', 'e', 't', 'a', 'h', 'i']"
54,runga,5590,"['r', 'u', 'ŋ', 'a']","['r', 'u', 'N', 'a']"
55,taua,5461,"['t', 'a', 'u', 'a']","['t', 'a', 'u', 'a']"
56,nui,5386,"['n', 'u', 'i']","['n', 'u', 'i']"
57,to,5287,"['t', 'o']","['t', 'o']"
58,noho,5214,"['n', 'o', 'h', 'o']","['n', 'o', 'h', 'o']"
60,na,5136,"['n', 'a']","['n', 'a']"
61,kore,4987,"['k', 'o', 'r', 'e']","['k', 'o', 'r', 'e']"
62,tama,4758,"['t', 'a', 'm', 'a']","['t', 'a', 'm', 'a']"
63,noa,4695,"['n', 'o', 'a']","['n', 'o', 'a']"
64,whare,4550,"['f', 'a', 'r', 'e']","['f', 'a', 'r', 'e']"
65,ta,4549,"['t', 'a']","['t', 'a']"
66,reira,4472,"['r', 'e', 'i', 'r', 'a']","['r', 'e', 'i', 'r', 'a']"
67,iho,4389,"['i', 'h', 'o']","['i', 'h', 'o']"
68,ma,4242,"['m', 'a']","['m', 'a']"
69,Atua,4238,"['a', 't', 'u', 'a']","['a', 't', 'u', 'a']"
71,toku,4139,"['t', 'o', 'k', 'u']","['t', 'o', 'k', 'u']"
72,kupu,3956,"['k', 'u', 'p', 'u']","['k', 'u', 'p', 'u']"
73,A,3870,['a'],['a']
74,rawa,3832,"['r', 'a', 'w', 'a']","['r', 'a', 'w', 'a']"
