i,word,freq,ipa,xsampa
95,کوردستان,1140,"['k', 'u', 'ɾ', 'd', 's', 't', 'a', 'n']","['k', 'u', '4', 'd', 's', 't', 'a', 'n']"
96,دەکەن,1119,"['d', 'ɛ', 'k', 'ɛ', 'n']","['d', 'E', 'k', 'E', 'n']"
97,زۆربەی,1119,"['z', 'o', 'ɾ', 'b', 'ɛ', 'iː']","['z', 'o', '4', 'b', 'E', 'i:']"
98,فیلمەکە,1114,"['f', 'iː', 'l', 'm', 'ɛ', 'k', 'ɛ']","['f', 'i:', 'l', 'm', 'E', 'k', 'E']"
101,کۆتایی,1062,"['k', 'o', 't', 'a', 'iː', 'iː']","['k', 'o', 't', 'a', 'i:', 'i:']"
102,ژیانی,1047,"['ʒ', 'iː', 'a', 'n', 'iː']","['Z', 'i:', 'a', 'n', 'i:']"
104,کردنی,1042,"['k', 'ɾ', 'd', 'n', 'iː']","['k', '4', 'd', 'n', 'i:']"
107,کراوە,1031,"['k', 'ɾ', 'a', 'u', 'ɛ']","['k', '4', 'a', 'u', 'E']"
108,کار,1023,"['k', 'a', 'ɾ']","['k', 'a', '4']"
109,تەمەنی,999,"['t', 'ɛ', 'm', 'ɛ', 'n', 'iː']","['t', 'E', 'm', 'E', 'n', 'i:']"
110,دەکرد,999,"['d', 'ɛ', 'k', 'ɾ', 'd']","['d', 'E', 'k', '4', 'd']"
111,کوردی,998,"['k', 'u', 'ɾ', 'd', 'iː']","['k', 'u', '4', 'd', 'i:']"
112,زۆری,991,"['z', 'o', 'ɾ', 'iː']","['z', 'o', '4', 'i:']"
113,باوکی,979,"['b', 'a', 'u', 'k', 'iː']","['b', 'a', 'u', 'k', 'i:']"
114,سەرەکی,973,"['s', 'ɛ', 'ɾ', 'ɛ', 'k', 'iː']","['s', 'E', '4', 'E', 'k', 'i:']"
115,پلەی,962,"['p', 'l', 'ɛ', 'iː']","['p', 'l', 'E', 'i:']"
116,مرۆڤ,954,"['m', 'ɾ', 'o', 'v']","['m', '4', 'o', 'v']"
117,بەسەر,950,"['b', 'ɛ', 's', 'ɛ', 'ɾ']","['b', 'E', 's', 'E', '4']"
118,نییە,946,"['n', 'iː', 'j', 'e']","['n', 'i:', 'j', 'e']"
119,بنەماڵەدا,940,"['b', 'n', 'ɛ', 'm', 'a', 'ɫ', 'ɛ', 'd', 'a']","['b', 'n', 'E', 'm', 'a', '5', 'E', 'd', 'a']"
