i,word,freq,ipa,xsampa
6998,Charles,250,"['ʈ͡ʂʰ', 'ɑ', 'ɻ', 'l', 'ɤ', 's']","['ts`_h', 'A', 'r\\`', 'l', '7', 's']"
6999,III,250,"['i', 'i', 'i']","['i', 'i', 'i']"
7070,R,247,['ʐ'],['z`']
7135,sfnsfn,244,"['s', 'f', 'n', 's', 'f', 'n']","['s', 'f', 'n', 's', 'f', 'n']"
7165,George,243,"['k', 'ɤ', 'u̯', 'ɔ', 'ɻ', 'k', 'ɤ']","['k', '7', 'u_^', 'O', 'r\\`', 'k', '7']"
7183,Team,242,"['tʰ', 'ɤ', 'a', 'm']","['t_h', '7', 'a', 'm']"
7206,www,241,"['u̯', 'u̯', 'u̯']","['u_^', 'u_^', 'u_^']"
7239,PlayStation,240,"['pʰ', 'l', 'a', 'i̯', 's', 'tʰ', 'a', 'tʰ', 'i', 'o', 'n']","['p_h', 'l', 'a', 'i_^', 's', 't_h', 'a', 't_h', 'i', 'o', 'n']"
7265,Street,239,"['s', 'tʰ', 'ʐ', 'ɤ', 'ɤ', 'tʰ']","['s', 't_h', 'z`', '7', '7', 't_h']"
7321,My,237,"['m', 'i̯']","['m', 'i_^']"
7322,is,237,"['i', 's']","['i', 's']"
7456,Music,231,"['m', 'u', 's', 'z̩', 't͡sʰ']","['m', 'u', 's', 'z=', 'ts_h']"
7457,with,231,"['u̯', 'i', 'tʰ', 'x']","['u_^', 'i', 't_h', 'x']"
7487,BBC,230,"['p', 'p', 't͡sʰ']","['p', 'p', 'ts_h']"
7514,One,229,"['o', 'n', 'ɤ']","['o', 'n', '7']"
7568,at,227,"['a', 'tʰ']","['a', 't_h']"
7618,Peter,225,"['pʰ', 'ɤ', 'tʰ', 'ɻ̩']","['p_h', '7', 't_h', 'r\\`=']"
7667,Mark,223,"['m', 'ɑ', 'ɻ', 'kʰ']","['m', 'A', 'r\\`', 'k_h']"
7668,PC,223,"['pʰ', 't͡sʰ']","['p_h', 'ts_h']"
7698,American,222,"['a', 'm', 'ɻ̩', 'i', 't͡sʰ', 'a', 'n']","['a', 'm', 'r\\`=', 'i', 'ts_h', 'a', 'n']"
7810,House,218,"['x', 'o', 'ʊ̯', 's', 'ɤ']","['x', 'o', 'U_^', 's', '7']"
7811,YouTube,218,"['i̯', 'o', 'ʊ̯', 'tʰ', 'u', 'p', 'ɤ']","['i_^', 'o', 'U_^', 't_h', 'u', 'p', '7']"
7840,from,217,"['f', 'ʐ', 'o', 'm']","['f', 'z`', 'o', 'm']"
7946,E,214,['ɤ'],['7']
8008,No,212,"['n', 'o']","['n', 'o']"
8070,P,210,['pʰ'],['p_h']
8129,City,208,"['t͡sʰ', 'z̩', 'tʰ', 'i̯']","['ts_h', 'z=', 't_h', 'i_^']"
8228,T,205,['tʰ'],['t_h']
8256,Me,204,"['m', 'ɤ']","['m', '7']"
