i,word,freq,ipa,xsampa
4200,ଦଶକ,33,"['d', 'ɔ', 's', 'ɔ', 'k', 'ɔ']","['d', 'O', 's', 'O', 'k', 'O']"
4201,ଦିଆଯିବ,33,"['d', 'i', 'a', 'd͡ʒ', 'i', 'b']","['d', 'i', 'a', 'dZ', 'i', 'b']"
4203,ନବୀନ,33,"['n', 'ɔ', 'b', 'i', 'n']","['n', 'O', 'b', 'i', 'n']"
4204,ନାଟକର,33,"['n', 'a', 'ʈ', 'ɔ', 'k', 'ɔ', 'r', 'ɔ']","['n', 'a', 't`', 'O', 'k', 'O', 'r', 'O']"
4208,ପଖାଳ,33,"['p', 'ɔ', 'kʰ', 'a', 'ɭ']","['p', 'O', 'k_h', 'a', 'l`']"
4210,ପାରିଥିଲେ,33,"['p', 'a', 'r', 'i', 'tʰ', 'i', 'l', 'e']","['p', 'a', 'r', 'i', 't_h', 'i', 'l', 'e']"
4212,ପାହାଚ,33,"['p', 'a', 'h', 'a', 't͡ʃ']","['p', 'a', 'h', 'a', 'tS']"
4214,ପୁରୀରେ,33,"['p', 'u', 'r', 'i', 'r', 'e']","['p', 'u', 'r', 'i', 'r', 'e']"
4219,ଫୁଲର,33,"['pʰ', 'u', 'l', 'ɔ', 'r', 'ɔ']","['p_h', 'u', 'l', 'O', 'r', 'O']"
4220,ବାଦନ,33,"['b', 'a', 'd', 'ɔ', 'n', 'ɔ']","['b', 'a', 'd', 'O', 'n', 'O']"
4225,ଭେଟ,33,"['b̤', 'e', 'ʈ']","['b_t', 'e', 't`']"
4226,ମଧୁସୂଦନ,33,"['m', 'ɔ', 'd̤', 'u', 's', 'u', 'd', 'ɔ', 'n', 'ɔ']","['m', 'O', 'd_t', 'u', 's', 'u', 'd', 'O', 'n', 'O']"
4230,ମହାରାଣୀ,33,"['m', 'ɔ', 'h', 'a', 'r', 'a', 'ɳ', 'i']","['m', 'O', 'h', 'a', 'r', 'a', 'n`', 'i']"
4231,ଯେତିକି,33,"['d͡ʒ', 'e', 't', 'i', 'k', 'i']","['dZ', 'e', 't', 'i', 'k', 'i']"
4232,ରଖିଛି,33,"['r', 'ɔ', 'kʰ', 'i', 't͡ʃʰ', 'i']","['r', 'O', 'k_h', 'i', 'tS_h', 'i']"
4233,ରବିବାର,33,"['r', 'ɔ', 'b', 'i', 'b', 'a', 'r']","['r', 'O', 'b', 'i', 'b', 'a', 'r']"
