i,word,freq,ipa,xsampa
6990,සෙනරත්,24,"['s', 'e', 'n', 'a', 'r', 'a', 't']","['s', 'e', 'n', 'a', 'r', 'a', 't']"
6991,සේනානායක,24,"['s', 'eː', 'n', 'aː', 'n', 'aː', 'j', 'a', 'k', 'a']","['s', 'e:', 'n', 'a:', 'n', 'a:', 'j', 'a', 'k', 'a']"
6992,සොහොන,24,"['s', 'o', 'h', 'o', 'n', 'a']","['s', 'o', 'h', 'o', 'n', 'a']"
6993,සෝවාන්,24,"['s', 'oː', 'v', 'aː', 'n']","['s', 'o:', 'v', 'a:', 'n']"
6994,හමුවීමට,24,"['h', 'a', 'm', 'u', 'v', 'iː', 'm', 'a', 'ʈ', 'a']","['h', 'a', 'm', 'u', 'v', 'i:', 'm', 'a', 't`', 'a']"
6995,හානියට,24,"['h', 'aː', 'n', 'i', 'j', 'a', 'ʈ', 'a']","['h', 'a:', 'n', 'i', 'j', 'a', 't`', 'a']"
6997,හිමිකරගෙන,24,"['h', 'i', 'm', 'i', 'k', 'a', 'r', 'a', 'ɡ', 'e', 'n', 'a']","['h', 'i', 'm', 'i', 'k', 'a', 'r', 'a', 'g', 'e', 'n', 'a']"
6998,හිමියන්ට,24,"['h', 'i', 'm', 'i', 'j', 'a', 'n', 'ʈ', 'a']","['h', 'i', 'm', 'i', 'j', 'a', 'n', 't`', 'a']"
6999,හෙක්ටයාර්,24,"['h', 'e', 'k', 'ʈ', 'a', 'j', 'aː', 'r']","['h', 'e', 'k', 't`', 'a', 'j', 'a:', 'r']"
7000,හෙලා,24,"['h', 'e', 'l', 'aː']","['h', 'e', 'l', 'a:']"
7001,හේතුන්,24,"['h', 'eː', 't', 'u', 'n']","['h', 'e:', 't', 'u', 'n']"
7002,හො,24,"['h', 'o']","['h', 'o']"
7005,අතරය,23,"['a', 't', 'a', 'r', 'a', 'j', 'a']","['a', 't', 'a', 'r', 'a', 'j', 'a']"
7006,අදහසට,23,"['a', 'd', 'a', 'h', 'a', 's', 'a', 'ʈ', 'a']","['a', 'd', 'a', 'h', 'a', 's', 'a', 't`', 'a']"
7010,අනතුරක්,23,"['a', 'n', 'a', 't', 'u', 'r', 'a', 'k']","['a', 'n', 'a', 't', 'u', 'r', 'a', 'k']"
7011,අනපේක්ෂිත,23,"['a', 'n', 'a', 'p', 'eː', 'k', 's', 'i', 't', 'a']","['a', 'n', 'a', 'p', 'e:', 'k', 's', 'i', 't', 'a']"
7012,අයත්වේ,23,"['a', 'j', 'a', 't', 'v', 'eː']","['a', 'j', 'a', 't', 'v', 'e:']"
7013,අල,23,"['a', 'l', 'a']","['a', 'l', 'a']"
7014,අල්ලාහ්ගේ,23,"['a', 'l', 'l', 'aː', 'h', 'ɡ', 'eː']","['a', 'l', 'l', 'a:', 'h', 'g', 'e:']"
7015,අවධානම්,23,"['a', 'v', 'a', 'd', 'aː', 'n', 'a', 'm']","['a', 'v', 'a', 'd', 'a:', 'n', 'a', 'm']"
7016,අවධානයෙන්,23,"['a', 'v', 'a', 'd', 'aː', 'n', 'a', 'j', 'e', 'n']","['a', 'v', 'a', 'd', 'a:', 'n', 'a', 'j', 'e', 'n']"
7018,අසීමිත,23,"['a', 's', 'iː', 'm', 'i', 't', 'a']","['a', 's', 'i:', 'm', 'i', 't', 'a']"
7019,අසුර,23,"['a', 's', 'u', 'r', 'a']","['a', 's', 'u', 'r', 'a']"
7020,ආයතනයක,23,"['aː', 'j', 'a', 't', 'a', 'n', 'a', 'j', 'a', 'k', 'a']","['a:', 'j', 'a', 't', 'a', 'n', 'a', 'j', 'a', 'k', 'a']"
7021,ආසන්නතම,23,"['aː', 's', 'a', 'n', 'n', 'a', 't', 'a', 'm', 'a']","['a:', 's', 'a', 'n', 'n', 'a', 't', 'a', 'm', 'a']"
7022,ඇතුලත්ව,23,"['æ', 't', 'u', 'l', 'a', 't', 'v', 'a']","['{', 't', 'u', 'l', 'a', 't', 'v', 'a']"
7023,ඉතාලියානු,23,"['i', 't', 'aː', 'l', 'i', 'j', 'aː', 'n', 'u']","['i', 't', 'a:', 'l', 'i', 'j', 'a:', 'n', 'u']"
7024,ඉතිහාසඥයන්,23,"['i', 't', 'i', 'h', 'aː', 's', 'a', 'd͡ʒ', 'ɲ', 'a', 'j', 'a', 'n']","['i', 't', 'i', 'h', 'a:', 's', 'a', 'dZ', 'J', 'a', 'j', 'a', 'n']"
7025,ඉන්දුනීසියාව,23,"['i', 'n', 'd', 'u', 'n', 'iː', 's', 'i', 'j', 'aː', 'v', 'a']","['i', 'n', 'd', 'u', 'n', 'i:', 's', 'i', 'j', 'a:', 'v', 'a']"
7026,උකහා,23,"['u', 'k', 'a', 'h', 'aː']","['u', 'k', 'a', 'h', 'a:']"
7027,උත්තල,23,"['u', 't', 't', 'a', 'l', 'a']","['u', 't', 't', 'a', 'l', 'a']"
7028,උපකාරි,23,"['u', 'p', 'a', 'k', 'aː', 'r', 'i']","['u', 'p', 'a', 'k', 'a:', 'r', 'i']"
7029,එකිනෙකින්,23,"['e', 'k', 'i', 'n', 'e', 'k', 'i', 'n']","['e', 'k', 'i', 'n', 'e', 'k', 'i', 'n']"
