b	t	p	lex.type	language	b.z	b.less
0.05761864296995765	5.6126077322456185	2.3038967664917034e-8	og	Cantonese	8.900974793650098	0
-0.04478771871790456	-3.9495601625968093	8.195878592251314e-5	nonce	Cantonese	0.12425087796168796	0
-0.051972239164420946	-4.391511040079702	1.2074485395214597e-5	nonce	Cantonese	-0.4914975129233537	0
-0.038981101708254806	-3.295173001108912	0.0010077652483028556	nonce	Cantonese	0.621906233916752	0
-0.061741277059047764	-5.33411377237334	1.1133504751243655e-7	nonce	Cantonese	-1.3287516357128752	0
-0.04328303398858322	-3.8305681967566363	1.332293170254562e-4	nonce	Cantonese	0.2532096870799989	0
-0.058326345109824596	-4.939748272496972	8.728298772070756e-7	nonce	Cantonese	-1.0360753369439497	0
-0.04362058671507301	-3.7461345526376397	1.8662368678094732e-4	nonce	Cantonese	0.22427977453785738	0
-0.0454162021046375	-3.8967708491141004	1.0195266550905477e-4	nonce	Cantonese	0.0703867910042303	0
-0.04214444810315426	-3.503005587455808	4.740353359464413e-4	nonce	Cantonese	0.3507920423751591	0
-0.050882982373821335	-4.321856748879787	1.6538527048462114e-5	nonce	Cantonese	-0.3981429012877885	0
-0.04726122688109824	-4.017714270076597	6.176669538797392e-5	nonce	Cantonese	-0.08774081761014672	0
-0.060051865010953207	-5.208131067557859	2.1792079047796885e-7	nonce	Cantonese	-1.1839607957535538	0
-0.04599841829740216	-4.056680687056372	5.240659086688577e-5	nonce	Cantonese	0.020488027891115413	0
-0.06357373680399789	-5.4750539997958985	5.149402252220289e-8	nonce	Cantonese	-1.4858023599350823	0
-0.05365103312279177	-4.775744024358046	1.9739352687412698e-6	nonce	Cantonese	-0.6353783308832484	0
-0.05934119704537054	-5.078149790239898	4.303303006404448e-7	nonce	Cantonese	-1.12305309014973	0
-0.04671913409317196	-4.031981139759517	5.820682950614596e-5	nonce	Cantonese	-0.04128082569268448	0
-0.03151523750127891	-2.6796912873390757	0.007451388526687918	nonce	Cantonese	1.2617671552174443	0
-0.045757526363606776	-3.9322385249065013	8.813383089953699e-5	nonce	Cantonese	0.04113363976123172	0
-0.06596358518646787	-5.805725516346064	7.834287946445056e-9	nonce	Cantonese	-1.6906240048757175	0
-0.04203804386645431	-3.590694616270797	3.404431163269405e-4	nonce	Cantonese	0.35991140364903684	0
-0.04856042355507386	-4.12478489234906	3.924873614059573e-5	nonce	Cantonese	-0.19908829965838534	0
-0.05472891454197852	-4.857975730077631	1.3091083573815329e-6	nonce	Cantonese	-0.7277580177906664	0
-0.03317350783336065	-2.7825200187540955	0.005464814526840512	nonce	Cantonese	1.1196453119805958	0
-0.054120071793097246	-4.609752091451578	4.385620981473924e-6	nonce	Cantonese	-0.675577229147014	0
-0.06085686850405651	-5.39484909359919	7.995965615312347e-8	nonce	Cantonese	-1.2529535154799682	0
-0.06795482885862944	-5.784978599399571	8.862183519857088e-9	nonce	Cantonese	-1.8612832849377594	0
