b	t	p	lex.type	language	b.z	b.less
0.08923401242163856	10.693266654128296	3.319110698567319e-26	og	Vietnamese	2.5257121599355097	0
0.07204566131463222	7.840261564267393	6.385509970416824e-15	nonce	Vietnamese	0.16073456292147914	0
0.07904486087571098	8.69547584198046	5.8028435571459884e-18	nonce	Vietnamese	1.123767611055711	0
0.056610260312941633	6.176740672916762	7.53144592438539e-10	nonce	Vietnamese	-1.9630513280384863	0
0.06236920628568963	6.762136074499557	1.6579600260159206e-11	nonce	Vietnamese	-1.1706671067031733	0
0.062474126350047864	6.8945992338857245	6.667877223102932e-12	nonce	Vietnamese	-1.156230957468163	0
0.07137947763300233	7.756542730477285	1.224468339301038e-14	nonce	Vietnamese	0.06907309564386395	0
0.0709633415151324	7.785543973306263	9.776311231324242e-15	nonce	Vietnamese	0.01181614354043495	0
0.07359566305576078	7.883403964365236	4.580033913467976e-15	nonce	Vietnamese	0.37400222136531625	0
0.07102059223545004	7.667045061588842	2.4350968029110537e-14	nonce	Vietnamese	0.019693377960492954	0
0.080917854136617	8.679309626071802	6.752548636601105e-18	nonce	Vietnamese	1.381476280946414	0
0.0666597386852596	7.277033397687294	4.4291489698317803e-13	nonce	Vietnamese	-0.5803246741408268	0
0.06426173533785261	6.9790003812902714	3.7288728111566745e-12	nonce	Vietnamese	-0.9102704705046483	0
0.07235363787767263	7.904497149181216	3.8563686851294e-15	nonce	Vietnamese	0.2031096381955145	0
0.06422534473283394	6.954509975651601	4.391725646454172e-12	nonce	Vietnamese	-0.9152775223780455	0
0.059055866822713424	6.475828324804654	1.111617180725468e-10	nonce	Vietnamese	-1.6265557229211136	0
0.06536812005751907	6.899909995004652	6.4587533821744715e-12	nonce	Vietnamese	-0.7580409134400808	0
0.07339084984980096	7.941541194752553	2.901650469518624e-15	nonce	Vietnamese	0.345821586663821	0
0.05928734408990829	6.41975192810297	1.6076852893459126e-10	nonce	Vietnamese	-1.594706329821927	0
0.05885622251376807	6.172890839637698	7.723003193361431e-10	nonce	Vietnamese	-1.6540251593485933	0
0.06285601250174144	6.631671030558098	3.989133694489401e-11	nonce	Vietnamese	-1.103686522708678	0
0.05772782562567706	6.274954501233993	4.0514732226631166e-10	nonce	Vietnamese	-1.809283412118854	0
0.05719692794997371	6.169215157321379	7.880688054477071e-10	nonce	Vietnamese	-1.8823306230775276	0
0.06770632949266825	7.218678610259927	6.819403526927417e-13	nonce	Vietnamese	-0.43632227406457036	0
0.06538066053469557	7.012423138962313	2.950428104955096e-12	nonce	Vietnamese	-0.7563154455697978	0
0.07509757424557063	8.187995761611324	3.9980355995844193e-16	nonce	Vietnamese	0.5806530102916102	0
0.060159314153375186	6.667291875553531	3.1347796443419e-11	nonce	Vietnamese	-1.4747303267412404	0
0.07773138147646866	8.46219682481787	4.2311882988483045e-17	nonce	Vietnamese	0.9430435070384656	0
0.06821278763510197	7.50643888022386	8.177227294339691e-14	nonce	Vietnamese	-0.36663774451171216	0
0.052022424908754764	5.582384336021188	2.6024859384131243e-8	nonce	Vietnamese	-2.5943002408714926	0
0.07939470897465023	8.671607762974153	7.152784336989311e-18	nonce	Vietnamese	1.1719038698043471	0
0.08125259279930384	8.66841413658512	7.485508039382357e-18	nonce	Vietnamese	1.4275336039077837	0
0.07992070724502084	8.6636729755913109	7.690359109161314e-18	nonce	Vietnamese	1.2442769623569867	0
