b	t	p	lex.type	language	b.z	b.less
0.05814560418803978	11.942017050863214	1.7000224436192322e-32	og	Georgian	-0.6545774230251602	0.71875
0.065421375095122	8.515729583090298	2.541832820836924e-17	nonce	Georgian	0.60614568283785	0.71875
0.05234431324777503	6.7311958385545925	1.9950084496244616e-11	nonce	Georgian	-1.6598071953241014	0.71875
0.06294709758267286	8.1103789242076	7.237092904554849e-16	nonce	Georgian	0.17741051922439946	0.71875
0.05601435045699797	7.440777973547864	1.2864135534897208e-13	nonce	Georgian	-1.0238744854939246	0.71875
0.061643885865327576	8.160676314067537	4.777804945330863e-16	nonce	Georgian	-0.04840598116724081	0.71875
0.06445753576719973	8.423020891849163	5.55273097900828e-17	nonce	Georgian	0.4391345816680388	0.71875
0.057256114338305825	7.524820391714132	6.891327080171099e-14	nonce	Georgian	-0.8087054763010884	0.71875
0.06080484315976925	7.92860250589918	3.0684161684966147e-15	nonce	Georgian	-0.19379270914592617	0.71875
0.05920396935190541	7.867485253174199	4.968369922349495e-15	nonce	Georgian	-0.4711871770201521	0.71875
0.058578130871970696	7.596320126167432	4.0142863870561824e-14	nonce	Georgian	-0.5796305354309919	0.71875
0.06617725957728385	8.46249880000586	3.9949840040029574e-17	nonce	Georgian	0.7371230107656894	0.71875
0.054433724785034235	7.162256093258004	9.859251825055524e-13	nonce	Georgian	-1.2977604189316048	0.71875
0.06865883279371598	8.756816506465999	3.248374529909608e-18	nonce	Georgian	1.1671223514268192	0.71875
0.05588499525214505	7.237509057646892	5.758160033666001e-13	nonce	Georgian	-1.0462887557759892	0.71875
0.07293623431483565	9.5096653538628	3.722800904744279e-21	nonce	Georgian	1.9082972729021481	0.71875
0.06121611061758099	7.85373262467673	5.526878728012826e-15	nonce	Georgian	-0.12252955457792018	0.71875
0.062414879251592933	7.771381571612379	1.055005437199143e-14	nonce	Georgian	0.08518937098797204	0.71875
0.05989672256368348	7.671226751759004	2.265860200697507e-14	nonce	Georgian	-0.3511490405940464	0.71875
0.053725608114428794	7.054340686816666	2.1306767642243288e-12	nonce	Georgian	-1.4204606880412431	0.71875
0.0627981671668115	8.15296629753891	5.110441094647082e-16	nonce	Georgian	0.15160431685216091	0.71875
0.050807718532557326	6.698368886774491	2.483794938823428e-11	nonce	Georgian	-1.9260635806009205	0.71875
0.05669805544737639	7.3009341370407315	3.623570717948841e-13	nonce	Georgian	-0.9054041969194331	0.71875
0.06678632071311374	8.6706737697019	6.875462386092716e-18	nonce	Georgian	0.8426592428200124	0.71875
0.05971166884490489	7.658612505308897	2.5165036791907864e-14	nonce	Georgian	-0.383214577300672	0.71875
0.06803089180335782	8.965840040220519	5.196785065602858e-19	nonce	Georgian	1.058314676505054	0.71875
0.057214919802976695	7.189808932113409	8.129443531910265e-13	nonce	Georgian	-0.8158435381213376	0.71875
0.06161411735054027	8.165692782279447	4.610765646234261e-16	nonce	Georgian	-0.05356417744621457	0.71875
0.06258823524917222	8.313153129797286	1.3755600886527047e-16	nonce	Georgian	0.11522796270275439	0.71875
0.06476398167483716	8.482294393636687	3.361740019257852e-17	nonce	Georgian	0.4922345818452845	0.71875
0.0650936331393314	8.393229643096193	7.083239607399993e-17	nonce	Georgian	0.5493555692261456	0.71875
0.05775409736411617	7.3577635484212784	2.392877627293623e-13	nonce	Georgian	-0.7224165159992235	0.71875
0.06823362031107903	8.561287881562578	1.735166995897933e-17	nonce	Georgian	1.09344284603723	0.71875
0.05222760506256349	6.855692347154695	8.536001662574938e-12	nonce	Georgian	-1.6800300291129313	0.71875
0.05988537118496426	7.639398109573081	2.88756991268074e-14	nonce	Georgian	-0.35311597243089066	0.71875
0.06380700426553503	8.117515390508162	6.784901581205343e-16	nonce	Georgian	0.3264124927355611	0.71875
0.07637302013554302	9.930475277678545	6.74343168143916e-23	nonce	Georgian	2.5038129027099236	0.71875
0.062341815176891135	8.148737204440364	5.290897164952508e-16	nonce	Georgian	0.07252905383925662	0.71875
0.054927805623653646	7.105063286404741	1.4885075248587014e-12	nonce	Georgian	-1.2121476175712242	0.71875
0.058020453729739664	7.560861010870796	5.253542201070271e-14	nonce	Georgian	-0.6762631078142072	0.71875
0.06106362944511462	7.872205837186334	4.777310697881263e-15	nonce	Georgian	-0.14895102108538172	0.71875
0.06238521159492435	7.9423125626810585	2.77243882852318e-15	nonce	Georgian	0.08004865109223043	0.71875
0.059887419393902026	7.725735883157365	1.498991006620896e-14	nonce	Georgian	-0.3527610651136516	0.71875
0.06854190590603734	8.849573914474503	1.4488596396852914e-18	nonce	Georgian	1.1468616215501237	0.71875
0.05433409865020894	6.937675108943347	4.843562746838322e-12	nonce	Georgian	-1.315023327800796	0.71875
0.07006518482779597	8.801971917951724	2.191565228548104e-18	nonce	Georgian	1.41081068727261	0.71875
0.06548312020531567	8.390601287355498	7.254718034384578e-17	nonce	Georgian	0.6168446847840838	0.71875
0.0639505881272057	8.044425995853013	1.2258053385265137e-15	nonce	Georgian	0.35129226071465536	0.71875
0.06344283759532235	8.312064158008301	1.3919410971706537e-16	nonce	Georgian	0.26331081713505317	0.71875
0.07152620074756341	9.018521885823654	3.2679194797857523e-19	nonce	Georgian	1.6639710123581033	0.71875
0.05654839747957311	7.361925162235833	2.3309411932791503e-13	nonce	Georgian	-0.9313364672445528	0.71875
0.06349547163629508	8.271670078340152	1.9465732151105757e-16	nonce	Georgian	0.27243108115335474	0.71875
0.060806757053062786	7.8384237471582425	6.218091247205656e-15	nonce	Georgian	-0.19346107562858056	0.71875
