b	t	p	lex.type	language	b.z	b.less
0.030053727561353764	3.738001095780278	1.900429027216287e-4	og	Kaqchikel	2.1786173608032207	0.0078125
0.019699942548176905	1.992057667759957	0.04651839083448073	nonce	Kaqchikel	0.8022352885359023	0.0078125
0.015513843504485517	1.5234464769205438	0.12783468763934575	nonce	Kaqchikel	0.24575554039166927	0.0078125
0.01567117018373462	1.5624513806701956	0.11836770529174187	nonce	Kaqchikel	0.2666697877449059	0.0078125
0.011419504423996623	1.136426477709414	0.25593578532171796	nonce	Kaqchikel	-0.2985260823189094	0.0078125
0.02040064394112035	2.149088725237878	0.03176376021885305	nonce	Kaqchikel	0.895383140653046	0.0078125
0.012209834962966142	1.2503063920835547	0.21135673433030486	nonce	Kaqchikel	-0.19346336529140531	0.0078125
0.014197495778830985	1.476541060105682	0.1399780013345607	nonce	Kaqchikel	0.07076664423872113	0.0078125
0.0219079942823651	2.207116435023093	0.027434645115836917	nonce	Kaqchikel	1.095763000160938	0.0078125
0.0047254571321887155	0.48556817618792814	0.6273344985821454	nonce	Kaqchikel	-1.1884003332936255	0.0078125
0.004395747689549827	0.4478124847280189	0.6543445042768476	nonce	Kaqchikel	-1.2322303109614905	0.0078125
-4.902176542795517e-4	-0.04703953831835925	0.9624870918558198	nonce	Kaqchikel	-1.881746898026761	0.0078125
0.009878296376215786	1.0246997654314303	0.3056491313176937	nonce	Kaqchikel	-0.5034068214785474	0.0078125
0.022448185393871445	2.241317550369642	0.025131085887625654	nonce	Kaqchikel	1.1675733922570897	0.0078125
0.012118363772558368	1.223904778529382	0.22115168832660148	nonce	Kaqchikel	-0.20562310266725223	0.0078125
0.016622369059013303	1.7063524169894553	0.08811642746137872	nonce	Kaqchikel	0.3931175628752792	0.0078125
0.0107535324514033	1.1035688549468174	0.2699356623582867	nonce	Kaqchikel	-0.3870571733685488	0.0078125
0.0217261797758441	2.2306762669857303	0.025829479933131744	nonce	Kaqchikel	1.0715934595595873	0.0078125
0.01895168448686975	1.940647572120449	0.052463306415913936	nonce	Kaqchikel	0.7027654830780944	0.0078125
0.021299527450630774	2.167706217446424	0.03031633091180698	nonce	Kaqchikel	1.0148763642396215	0.0078125
0.024035524091190176	2.5082536247141967	0.012222798949491246	nonce	Kaqchikel	1.3785865167159395	0.0078125
0.015209267880595444	1.5609526524832853	0.1187167716037974	nonce	Kaqchikel	0.20526673095256903	0.0078125
0.010013855836802471	1.020633479117186	0.30757008503020866	nonce	Kaqchikel	-0.4853862028313293	0.0078125
0.0028941309130475186	0.2948294249878559	0.7681594397725758	nonce	Kaqchikel	-1.431847978120243	0.0078125
0.008135168386210997	0.8136477865082383	0.4159587875159241	nonce	Kaqchikel	-0.7351298205611607	0.0078125
0.010066306246923002	1.0204149472860424	0.3076788005329119	nonce	Kaqchikel	-0.4784136991448909	0.0078125
0.01712308749458141	1.730806435027954	0.08366337228385708	nonce	Kaqchikel	0.4596806484611387	0.0078125
0.022279125175088565	2.2135642293382887	0.026989559971816457	nonce	Kaqchikel	1.1450993449429714	0.0078125
0.019714370532746866	1.922064801798529	0.05476398617035184	nonce	Kaqchikel	0.8041532749800646	0.0078125
0.020683916567020892	2.081156160687605	0.03756783799697614	nonce	Kaqchikel	0.9330400326357743	0.0078125
0.013297843289743524	1.313921479800075	0.18904794274615216	nonce	Kaqchikel	-0.04882880377133102	0.0078125
0.019925550210334257	1.972002820882948	0.04876854475409671	nonce	Kaqchikel	0.83222647930955	0.0078125
0.012847291751429195	1.2960535464592278	0.195130313034509	nonce	Kaqchikel	-0.10872294482014438	0.0078125
0.0034914235112901075	0.3476852199624739	0.7281192633960941	nonce	Kaqchikel	-1.3524467907213538	0.0078125
0.015185515494598772	1.5319312557282385	0.12572139140111913	nonce	Kaqchikel	0.20210920370839824	0.0078125
0.008315441106538313	0.8275160736609043	0.40805867990019884	nonce	Kaqchikel	-0.7111652375548881	0.0078125
0.012170956695848953	1.3092898901622985	0.1906051538864573	nonce	Kaqchikel	-0.19863165396968255	0.0078125
0.00228648792776423	0.23774224696389548	0.8121089088304007	nonce	Kaqchikel	-1.5126250958813827	0.0078125
0.013334467724175826	1.3642151431463263	0.17268032981202464	nonce	Kaqchikel	-0.04396012870270674	0.0078125
0.015329773435165273	1.5384753004682492	0.12411322409893087	nonce	Kaqchikel	0.22128615618763603	0.0078125
0.014939238324325603	1.4996463989121362	0.13388869133999298	nonce	Kaqchikel	0.16937030855640128	0.0078125
0.02143584151377658	2.1399888469568986	0.03249494233581143	nonce	Kaqchikel	1.0329972960991325	0.0078125
0.0047266344008426	0.5124344651340861	0.6084110563090598	nonce	Kaqchikel	-1.1882438328961973	0.0078125
0.0199328162491488	2.1110262814337415	0.03491318209530353	nonce	Kaqchikel	0.8331923913453909	0.0078125
0.018321066761363934	1.8792588299852129	0.060376846082247394	nonce	Kaqchikel	0.6189342145385638	0.0078125
0.010594196968958174	1.069619410865649	0.2849425888702416	nonce	Kaqchikel	-0.40823846129701474	0.0078125
0.013468339913371282	1.3677187853997204	0.17157673702787027	nonce	Kaqchikel	-0.02616380774864935	0.0078125
0.02011237446923929	2.1239359554500576	0.03381532956632815	nonce	Kaqchikel	0.85706199214802	0.0078125
0.019126446627272944	1.900457543585203	0.05754093797968301	nonce	Kaqchikel	0.7259975162578345	0.0078125
0.0191463494058188	1.9317445149038277	0.053556386417894064	nonce	Kaqchikel	0.7286432953177588	0.0078125
0.016975223315768232	1.7020903706395942	0.0889206158708072	nonce	Kaqchikel	0.44002430012186206	0.0078125
0.033484249325640404	3.2856252353614828	0.0010380914604091146	nonce	Kaqchikel	2.634654322057279	0.0078125
0.0029536271992764377	0.30279883123284623	0.7620793476775787	nonce	Kaqchikel	-1.4239388297626374	0.0078125
0.018277385144636542	1.8074894953726037	0.07086237863426012	nonce	Kaqchikel	0.6131273918090288	0.0078125
0.013209303524798847	1.3773012277735197	0.16859771420356157	nonce	Kaqchikel	-0.060598851632815885	0.0078125
0.0060986766482440755	0.626751664841323	0.5309042517187351	nonce	Kaqchikel	-1.0058511765571494	0.0078125
0.018799395957553505	1.9309505717140594	0.05365238286225571	nonce	Kaqchikel	0.6825209829946877	0.0078125
0.018011719935362113	1.8143858642601998	0.06978950400885217	nonce	Kaqchikel	0.5778111445810717	0.0078125
0.016981564475398624	1.775808091176697	0.07593918913481038	nonce	Kaqchikel	0.4408672631949363	0.0078125
0.01499120701565973	1.499407158941326	0.13395007095219763	nonce	Kaqchikel	0.17627877487866447	0.0078125
