r	b	b0	lex.type	test	i	language
-0.28252128473629146	-0.28252128473629146	0	og	redun.prop	1	Georgian
0.07616034709682677	0.07616034709682677	0	og	bigram.prob	1	Georgian
-0.12572545474333166	-0.12572545474333166	0	og	seg.h.prop	1	Georgian
-0.011162512063564427	-0.011162512063564427	0	scr	redun.prop	2	Georgian
0.022411709797444602	0.022411709797444602	0	scr	bigram.prob	2	Georgian
-0.012962704584329158	-0.012962704584329158	0	scr	seg.h.prop	2	Georgian
0.010261846157811108	0.010261846157811108	0	scr	redun.prop	3	Georgian
0.008045544624020426	0.008045544624020426	0	scr	bigram.prob	3	Georgian
-0.009010457048658176	-0.009010457048658176	0	scr	seg.h.prop	3	Georgian
0.00700726250083704	0.00700726250083704	0	scr	redun.prop	4	Georgian
-0.01319792062654348	-0.01319792062654348	0	scr	bigram.prob	4	Georgian
0.015897282160235417	0.015897282160235417	0	scr	seg.h.prop	4	Georgian
-0.01603843662372128	-0.01603843662372128	0	scr	redun.prop	5	Georgian
-0.008833215473758833	-0.008833215473758833	0	scr	bigram.prob	5	Georgian
-0.005898595528994425	-0.005898595528994425	0	scr	seg.h.prop	5	Georgian
0.009828871255142702	0.009828871255142702	0	scr	redun.prop	6	Georgian
-0.0032548773079563464	-0.0032548773079563464	0	scr	bigram.prob	6	Georgian
0.014644558670861268	0.014644558670861268	0	scr	seg.h.prop	6	Georgian
-0.00931858488602896	-0.00931858488602896	0	scr	redun.prop	7	Georgian
0.0020952578402709744	0.0020952578402709744	0	scr	bigram.prob	7	Georgian
-0.004812388488041485	-0.004812388488041485	0	scr	seg.h.prop	7	Georgian
0.003478825551679836	0.003478825551679836	0	scr	redun.prop	8	Georgian
-0.01763364189946605	-0.01763364189946605	0	scr	bigram.prob	8	Georgian
0.015608613228152884	0.015608613228152884	0	scr	seg.h.prop	8	Georgian
0.012140020068952734	0.012140020068952734	0	scr	redun.prop	9	Georgian
-0.009397791116645177	-0.009397791116645177	0	scr	bigram.prob	9	Georgian
0.004503942912468632	0.004503942912468632	0	scr	seg.h.prop	9	Georgian
-0.01213282187580432	-0.01213282187580432	0	scr	redun.prop	10	Georgian
0.004339433241185931	0.004339433241185931	0	scr	bigram.prob	10	Georgian
-0.0046234009124910685	-0.0046234009124910685	0	scr	seg.h.prop	10	Georgian
-0.004100377538548639	-0.004100377538548639	0	scr	redun.prop	11	Georgian
-0.0040028213895169605	-0.0040028213895169605	0	scr	bigram.prob	11	Georgian
0.001325288831076606	0.001325288831076606	0	scr	seg.h.prop	11	Georgian
-9.242168403772085e-4	-9.242168403772085e-4	0	scr	redun.prop	12	Georgian
0.001792546518291623	0.001792546518291623	0	scr	bigram.prob	12	Georgian
0.006913709079028525	0.006913709079028525	0	scr	seg.h.prop	12	Georgian
3.210603258365156e-4	3.210603258365156e-4	0	scr	redun.prop	13	Georgian
-7.524563927851116e-4	-7.524563927851116e-4	0	scr	bigram.prob	13	Georgian
0.005664815125885269	0.005664815125885269	0	scr	seg.h.prop	13	Georgian
-0.004878923473383821	-0.004878923473383821	0	scr	redun.prop	14	Georgian
0.023378837991827627	0.023378837991827627	0	scr	bigram.prob	14	Georgian
-0.016674253187725193	-0.016674253187725193	0	scr	seg.h.prop	14	Georgian
0.009779369024320942	0.009779369024320942	0	scr	redun.prop	15	Georgian
-0.008203722545049585	-0.008203722545049585	0	scr	bigram.prob	15	Georgian
0.0070576347957161676	0.0070576347957161676	0	scr	seg.h.prop	15	Georgian
0.009867819785901257	0.009867819785901257	0	scr	redun.prop	16	Georgian
-0.010044800402672967	-0.010044800402672967	0	scr	bigram.prob	16	Georgian
0.0086312384223426	0.0086312384223426	0	scr	seg.h.prop	16	Georgian
0.007132980104928334	0.007132980104928334	0	scr	redun.prop	17	Georgian
0.004429545306271078	0.004429545306271078	0	scr	bigram.prob	17	Georgian
0.006613040896497481	0.006613040896497481	0	scr	seg.h.prop	17	Georgian
-0.004137138610131134	-0.004137138610131134	0	scr	redun.prop	18	Georgian
-0.009692616116891924	-0.009692616116891924	0	scr	bigram.prob	18	Georgian
0.0017687529238849696	0.0017687529238849696	0	scr	seg.h.prop	18	Georgian
0.0038101034899799733	0.0038101034899799733	0	scr	redun.prop	19	Georgian
-6.299063712163822e-4	-6.299063712163822e-4	0	scr	bigram.prob	19	Georgian
0.005082051602403683	0.005082051602403683	0	scr	seg.h.prop	19	Georgian
-0.016569363439189973	-0.016569363439189973	0	scr	redun.prop	20	Georgian
0.0021539103405427557	0.0021539103405427557	0	scr	bigram.prob	20	Georgian
-0.021186722147154	-0.021186722147154	0	scr	seg.h.prop	20	Georgian
-0.0033731997968957754	-0.0033731997968957754	0	scr	redun.prop	21	Georgian
0.004438988893764336	0.004438988893764336	0	scr	bigram.prob	21	Georgian
0.0030578597199354177	0.0030578597199354177	0	scr	seg.h.prop	21	Georgian
-0.0022597366686938924	-0.0022597366686938924	0	scr	redun.prop	22	Georgian
0.007035432968677338	0.007035432968677338	0	scr	bigram.prob	22	Georgian
-3.585196457718364e-4	-3.585196457718364e-4	0	scr	seg.h.prop	22	Georgian
-0.0017881054418332823	-0.0017881054418332823	0	scr	redun.prop	23	Georgian
0.0039037263804682625	0.0039037263804682625	0	scr	bigram.prob	23	Georgian
0.0013940337112321208	0.0013940337112321208	0	scr	seg.h.prop	23	Georgian
0.010553723576508196	0.010553723576508196	0	scr	redun.prop	24	Georgian
0.0063278906056128854	0.0063278906056128854	0	scr	bigram.prob	24	Georgian
-0.007726766650031625	-0.007726766650031625	0	scr	seg.h.prop	24	Georgian
