cohort	entropy	cohort.p	cohort.size	nb.cont.segs	position	cohort.h	cohort.h.scaled	cohort.size.scaled	nb.cont.segs.scaled	entropy.scaled
0	3.7015698384953652	1	2350	18	1	-0	0	0	0	0
$	1.7781614736022533	0.009520208703542667	52	4	2	6.714791083790038	-0.010446748651369592	0.37738931624803723	0.4154880430953881	0.9376917563193914
a	2.3970946810168807	0.10905516276607813	112	11	2	3.1968700248563287	-1.234395630813889	0.8475468672244217	4.33066383380193	1.986258491631839
A	1.1804510742642025	0.004438731142954365	6	5	2	7.815636958399002	0.37255760394466536	-0.9458964544073962	0.9747988703391798	-0.07492032296163299
b	1.2489015270516193	0.07022571741842792	258	3	2	3.8318567319293324	-1.01347217707794	1.3588865488375677	-0.14382278414840358	0.041045126864163825
c	0.7133449097353316	0.05352187228250596	106	2	2	4.223727605083824	-0.8771331549354513	0.813807413137838	-0.7031336113921952	-0.8662690179691096
d	1.0277490234471554	0.030375439525123824	27	2	2	5.040950905463587	-0.5928062674867173	-0.02422998811365732	-0.7031336113921952	-0.3336207594264716
D	0.9283620723948676	2.4197512193277628e-4	4	2	2	12.012853651509054	1.8328458235111973	-1.1943568023897733	-0.7031336113921952	-0.5019973298691396
E	0.4584665272962586	0.029581458656281902	1	1	2	5.07916299655682	-0.5795115842362548	-2.043848343047743	-1.262444438635987	-1.2980716586647463
f	1.5479977112094647	0.03933608075919695	90	4	2	4.668002967566063	-0.722561655412576	0.7135388012154114	0.4154880430953881	0.5477594307821066
g	1.617529471532348	0.009119437407841506	54	4	2	6.776839459608969	0.011141012685890156	0.40051578221532774	0.4154880430953881	0.6655567795894899
G	1.418997960850949	0.002283640213240576	12	3	2	8.774448912183976	0.7061457656400508	-0.5211506840784111	-0.14382278414840358	0.32921428654179336
h	1.423977092556815	0.03184241370184128	25	3	2	4.972906491339961	-0.6164801598819205	-0.07139006842485252	-0.14382278414840358	0.3376496909036293
H	1.35015585735967	0.031865098869522476	155	3	2	4.971879052691748	-0.6168376245219461	1.0466547224799911	-0.14382278414840358	0.2125853210167061
i	1.328069013494206	0.11073386517448676	377	4	2	3.174831593204509	-1.2420632030342378	1.591304655609097	0.4154880430953881	0.17516685729893916
I	0	0.00014367272864758591	2	1	2	12.76492613806547	2.094505554871092	-1.6191025727187582	-1.262444438635987	-2.0747834977098067
j	1.9598428384748614	3.100306249763696e-4	5	4	2	11.65530164689097	1.7084469615026459	-1.0576192057362979	0.4154880430953881	1.2454875464779889
k	1.858119296691863	0.04756323490491134	74	4	2	4.394009349742403	-0.8178890310520341	0.5935907100582342	0.4154880430953881	1.0731524369152485
l	1.1532802870839955	0.04225490566751106	68	3	2	4.564737346099591	-0.7584896480657188	0.5417757508082042	-0.14382278414840358	-0.12095175780486479
m	1.510584623572455	0.09953495406253544	291	4	2	3.3286529385190606	-1.1885459522214679	1.4326428395225512	0.4154880430953881	0.48437598537712073
n	1.8847903981323615	0.01213656470944081	81	4	2	6.364496069499389	-0.13232077140107176	0.6489761301977047	0.4154880430953881	1.118337328321335
O	0.46670139427173307	0.001255245945026277	2	2	2	9.637814220162129	1.0065262988854593	-1.6191025727187582	-0.7031336113921952	-1.284120544914889
q	1.282976281214295	0.022307081553177815	83	3	2	5.4863544123724886	-0.4378422659472249	0.6639226910973611	-0.14382278414840358	0.09877292899353911
r	1.5880296900469015	0.012325607773450792	60	4	2	6.342197402390615	-0.14007888428202744	0.46507845323303443	0.4154880430953881	0.6155796751231862
s	1.4158570562710913	0.011123293886347311	74	3	2	6.490272120254224	-0.08856098994342376	0.5935907100582342	-0.14382278414840358	0.3238931177601301
S	1.3381613958529355	0.004884872774017921	32	4	2	7.677463296815129	0.3244844676216054	0.07988050859718206	0.4154880430953881	0.19226488386245602
t	1.7133289768282305	0.021218193504480322	136	4	2	5.558554357889155	-0.41272258840843923	0.9665215211371893	0.4154880430953881	0.8278556727644968
T	0.4619198601895945	0.019146281522930925	19	2	2	5.706791962080713	-0.36114802294627363	-0.23955909904845762	-0.7031336113921952	-1.2922211889298325
u	2.2761377529754157	0.004030398124692806	19	6	2	7.954861928749878	0.4209965097573257	-0.23955909904845762	1.5341096975829716	1.7813391083600083
U	0	3.251540700971681e-4	1	1	2	11.586588896806957	1.6845405428403883	-2.043848343047743	-1.262444438635987	-2.0747834977098067
