language	i	lex.type	seq.H	bag.H	seq.H.scaled	bag.H.scaled
Finnish	1	original	1.4125016129659065	4.426436501849043	3.505205706967924	-2.4319132270362593
Finnish	2	shuffled	1.3332477969407808	4.472001042145873	0.6399416669515021	-0.8529156668400126
Finnish	3	shuffled	1.311547655517466	4.493376979534881	-0.1445837729816682	-0.112152065050757
Finnish	4	shuffled	1.316412429542537	4.546059604332582	0.03129245324853124	1.7135162173107068
Finnish	5	shuffled	1.3025901246113936	4.533248824822606	-0.46842548155464864	1.2695703449571802
Finnish	6	shuffled	1.3066167885512598	4.507835081662469	-0.3228494580042873	0.3888802692119718
Finnish	7	shuffled	1.284312452098145	4.502964684497279	-1.1292183671717233	0.22010110034681943
Finnish	8	shuffled	1.3243040315693548	4.442999758299021	0.3165976238966338	-1.85792869096842
Finnish	9	shuffled	1.2982535755994764	4.515430033851408	-0.6252047833572998	0.652076405901113
Finnish	10	shuffled	1.3216927007101928	4.509237064299377	0.22219015202209377	0.4374646979957221
Finnish	11	shuffled	1.3314145205303436	4.493715817075512	0.5736632057027625	-0.10040995931516707
Finnish	12	shuffled	1.3172455368739724	4.493263417948363	0.06141179131900426	-0.11608743819128421
Finnish	13	shuffled	1.3349022397165178	4.473615352251012	0.6997547539337284	-0.7969732234221909
Finnish	14	shuffled	1.3067773459126126	4.497195439254486	-0.3170448260393329	0.020173171672471426
Finnish	15	shuffled	1.3083983836626374	4.5090940163900095	-0.25843943130121	0.432507503247105
Finnish	16	shuffled	1.3561477103340611	4.500632633305279	1.4678424754684702	0.13928599459940377
Finnish	17	shuffled	1.3093641676570977	4.503572125135351	-0.2235234324441536	0.24115140128767856
Finnish	18	shuffled	1.3097329449631991	4.452340039605809	-0.21019102263802503	-1.5342497665485422
Finnish	19	shuffled	1.292027562432432	4.44890949122091	-0.8502939025303826	-1.6531322899889835
Finnish	20	shuffled	1.3350340982021063	4.507900126865135	0.7045218351428902	0.3911343513478325
Finnish	21	shuffled	1.344896902097045	4.445859775187566	1.0610918875545312	-1.75881741584717
Finnish	22	shuffled	1.283105900244467	4.53949975292955	-1.1728388489623174	1.486190553688072
Finnish	23	shuffled	1.314457273996772	4.496382275453252	-0.03939230565498172	-0.008006277737610762
Finnish	24	shuffled	1.3174727394775525	4.485818632267279	0.06962584942353538	-0.3740796915979034
Finnish	25	shuffled	1.331452542518585	4.5283697359873365	0.5750378150414922	1.100489974197739
Finnish	26	shuffled	1.3335658212079857	4.460840581823543	0.6514392016113605	-1.239671233884587
Finnish	27	shuffled	1.3198603347917375	4.502147650788669	0.15594460779949929	0.19178754282843852
Finnish	28	shuffled	1.2789760676168112	4.46166553955851	-1.3221447311618213	-1.2110830764645524
Finnish	29	shuffled	1.3575804444728028	4.475126062847486	1.5196401277775902	-0.74462092642863
Finnish	30	shuffled	1.2516346691506424	4.529503742116869	-2.3106185959917176	1.139787921683111
Finnish	31	shuffled	1.3100762489155704	4.5192954365055265	-0.19777955125583924	0.7860284071781559
Finnish	32	shuffled	1.2808835057938648	4.508826696025136	-1.2531850987886168	0.42324375996831903
Finnish	33	shuffled	1.3254779223182462	4.512058185939583	0.3590373084241292	0.5352280937829611
Finnish	34	shuffled	1.315809528909645	4.541036818280365	0.00949578035922797	1.5394561506410698
Finnish	35	shuffled	1.3495484009428984	4.511669801042417	1.2292575739989111	0.5217689696252692
Finnish	36	shuffled	1.3245889960412587	4.462747087234353	0.3268999474310554	-1.1736030288163697
Finnish	37	shuffled	1.272271489072036	4.553459377139167	-1.5645354294434017	1.9699485906318885
Finnish	38	shuffled	1.2815569755008438	4.518147038478378	-1.2288371414254584	0.7462317216154538
Finnish	39	shuffled	1.3257201527446902	4.501273437174861	0.36779466756589974	0.16149246787978958
Finnish	40	shuffled	1.3211119796292154	4.482484640293516	0.20119533670523268	-0.4896161407311505
Finnish	41	shuffled	1.3118684669217267	4.4993283174406615	-0.13298547492667614	0.09408611867528983
Finnish	42	shuffled	1.3118152895857274	4.5264090210467405	-0.13490799571147163	1.0325431873482986
Finnish	43	shuffled	1.2965382543974417	4.5252315900573	-0.6872188087224571	0.9917403909738601
Finnish	44	shuffled	1.305028677496077	4.4753439009706435	-0.3802644535992638	-0.7370719450772778
Finnish	45	shuffled	1.3525272804355437	4.480665091057269	1.3369530354655617	-0.5526709589291242
Finnish	46	shuffled	1.3264092257818456	4.480273321775182	0.3927067322881872	-0.5662473658575371
Finnish	47	shuffled	1.3350289157128865	4.48399559532046	0.7043344725559018	-0.4372553732227399
Finnish	48	shuffled	1.3214183267854542	4.489380998329955	0.21227070865014955	-0.2506291468354949
Finnish	49	shuffled	1.3456990963117035	4.456269225863901	1.0900936233907168	-1.3980874026869372
Finnish	50	shuffled	1.2639159396718407	4.523915583035906	-1.8666136943356593	0.9461353686814312
Finnish	51	shuffled	1.2700695063815066	4.520425843623477	-1.6441437326942128	0.8252016342017345
