language	i	lex.type	seq.H	bag.H	seq.H.scaled	bag.H.scaled
Korean	1	original	1.9095683948525297	4.010637972547444	3.2112966347986314	-6.4082223217776955
Korean	2	shuffled	1.854702954603619	4.21481057351676	-0.13969344327764885	0.5987682671059967
Korean	3	shuffled	1.8766193168256864	4.214419581469578	1.1988816601114458	0.5853498280895492
Korean	4	shuffled	1.8702056546083348	4.198593147522701	0.8071575008415371	0.04220313164315482
Korean	5	shuffled	1.8629422090420324	4.212927180450009	0.36353153311207187	0.5341321825812354
Korean	6	shuffled	1.8338412404289495	4.201868712845628	-1.4138543156561094	0.1546171151162353
Korean	7	shuffled	1.8147260987946363	4.222511414942144	-2.581340617907695	0.8630531081570082
Korean	8	shuffled	1.8591830237371179	4.193590320536367	0.13393358217484186	-0.12948866953211058
Korean	9	shuffled	1.8563827909568638	4.194486498012446	-0.0370948871195737	-0.09873279381203769
Korean	10	shuffled	1.8813799042808181	4.188834896515155	1.4896417680334375	-0.29268985913632606
Korean	11	shuffled	1.841205139967728	4.210951872817934	-0.964092969015181	0.4663416860974236
Korean	12	shuffled	1.8510163371125397	4.21516825047306	-0.36485920478840667	0.6110433669712906
Korean	13	shuffled	1.8712131668607894	4.214208570482893	0.868692841598834	0.5781081512395173
Korean	14	shuffled	1.8458131517132	4.1796927960891805	-0.6826516542516172	-0.6064372049766352
Korean	15	shuffled	1.8753112428639769	4.191310344383842	1.1189890565491238	-0.20773507168291125
Korean	16	shuffled	1.8543621881164083	4.209721306787925	-0.16050627394852438	0.42410994417740994
Korean	17	shuffled	1.852271759902568	4.189136444160537	-0.28818235148895144	-0.2823410586446873
Korean	18	shuffled	1.8613566376339794	4.189145252181072	0.26669035162583266	-0.28203877657205106
Korean	19	shuffled	1.8656651081929978	4.217294936069819	0.5298367335641608	0.684028997223614
Korean	20	shuffled	1.8348115756021812	4.209893725853909	-1.3545896214669004	0.430027186583867
Korean	21	shuffled	1.8614635365254382	4.201053135004649	0.2732193637509614	0.1266273347582932
Korean	22	shuffled	1.8674567291298148	4.185936084514116	0.639262702912261	-0.3921740617854446
Korean	23	shuffled	1.8483888686276209	4.200670453570402	-0.5253358323972734	0.11349410730476425
Korean	24	shuffled	1.8425552467103046	4.184496779902104	-0.8816331495333241	-0.4415694939982992
Korean	25	shuffled	1.8583941778819906	4.183481149688335	0.085753623686026	-0.47642486301392134
Korean	26	shuffled	1.8570615609498353	4.191813745293162	0.0043620209344679165	-0.19045887782881238
Korean	27	shuffled	1.869972263097633	4.203092552202467	0.792902759913172	0.1966180046330555
Korean	28	shuffled	1.8455157819135413	4.195525403992063	-0.7008139663310414	-0.06307862480331172
Korean	29	shuffled	1.8216419509277686	4.211187471832172	-2.1589444469405072	0.4744271983928046
Korean	30	shuffled	1.838565184692037	4.193992459313419	-1.125332246332043	-0.11568768637936037
Korean	31	shuffled	1.8622046182143412	4.2026806816897295	0.31848205325626483	0.18248303846772881
Korean	32	shuffled	1.8622648226290646	4.173777893659447	0.3221591293077641	-0.8094304835191151
Korean	33	shuffled	1.8829280530965	4.220050224290749	1.5841973078632399	0.7785876135220963
Korean	34	shuffled	1.852037852350714	4.207881482380728	-0.30246861041431494	0.3609690905798892
Korean	35	shuffled	1.8774550098160228	4.197062333834477	1.2499228785219854	-0.010332796565611407
Korean	36	shuffled	1.874343738273319	4.206039272815632	1.0598972444889423	0.2977463808524561
Korean	37	shuffled	1.869831549641938	4.192865148933621	0.7843084719288499	-0.15437580214265412
Korean	38	shuffled	1.86430899220196	4.204066269441211	0.4470098901073008	0.23003496408658597
Korean	39	shuffled	1.8623957480612727	4.204080057664741	0.3301555988942103	0.23050816152862155
Korean	40	shuffled	1.8656841110322335	4.194144583528523	0.5309973608268841	-0.11046694207520856
Korean	41	shuffled	1.8512338344552441	4.214306075376608	-0.3515752243062641	0.5814544174348095
Korean	42	shuffled	1.8559677107576267	4.206314053397392	-0.062446540600145276	0.3071765636549529
Korean	43	shuffled	1.8444623992880025	4.211876324770734	-0.7651509097800364	0.49806791235105413
Korean	44	shuffled	1.8338382711028411	4.189767053445799	-1.4140356717571894	-0.2606992060840983
Korean	45	shuffled	1.847677835772631	4.186101613460206	-0.5687632437412466	-0.38649328110313375
Korean	46	shuffled	1.8518710084742567	4.210503936336283	-0.3126588535265478	0.45096897351775567
Korean	47	shuffled	1.8515414012546914	4.21047126888793	-0.3327901149802937	0.4498478607823095
Korean	48	shuffled	1.8340561761985497	4.221059143053569	-1.4007267871411402	0.8132126525452879
Korean	49	shuffled	1.857666195304862	4.199684296340383	0.04129098232376449	0.07965022033315304
Korean	50	shuffled	1.8565128941169107	4.197632083259036	-0.029148639054021548	0.00922040908955359
Korean	51	shuffled	1.864621823302715	4.1847173431536255	0.4661165246296476	-0.4339999933878954
