language	i	lex.type	seq.H	bag.H	seq.H.scaled	bag.H.scaled
Italian	1	original	1.2803710157432553	3.93446749273678	1.829895838246898	-2.476177789019723
Italian	2	shuffled	1.2076932649353687	4.049546671480587	0.5057077447429555	-0.0491076955014778
Italian	3	shuffled	1.2330518691416295	4.028183198852943	0.9677413297746713	-0.49967265498629715
Italian	4	shuffled	1.1226940452557268	4.068503465191339	-1.0429774223920436	0.3506993554924274
Italian	5	shuffled	1.1534421836829347	4.079847558494802	-0.48274656287703743	0.5899512331601525
Italian	6	shuffled	1.2146654122494442	4.0597180356041624	0.6327402183242998	0.1654108120521129
Italian	7	shuffled	1.1526926781843536	4.086804977388432	-0.49640254763446795	0.7366862334367914
Italian	8	shuffled	1.225692716070779	4.017069264444054	0.8336576141069623	-0.7340703811395971
Italian	9	shuffled	1.1174938756594026	4.080052865129097	-1.137724474785779	0.5942812396612037
Italian	10	shuffled	1.1181302526605703	4.053051219466133	-1.1261296904321256	0.02480475069310884
Italian	11	shuffled	1.1533864490725696	4.113381414861848	-0.4837620470743493	1.2971948961513924
