language	i	lex.type	seq.H	bag.H	seq.H.scaled	bag.H.scaled
French	1	original	1.1685560750335375	4.72955223963769	2.058138680517758	0.37399875463675847
French	2	shuffled	1.1618691827882128	4.722264965450416	1.4511361100010736	-0.18879610284848042
French	3	shuffled	1.1407220428395053	4.72029709032799	-0.46849528781551086	-0.3407747399372727
French	4	shuffled	1.1288894157653284	4.745232501019779	-1.5426018812053537	1.5849824836797066
French	5	shuffled	1.161988670854112	4.719111919012244	1.4619826378776983	-0.4323053046723901
French	6	shuffled	1.151365520506552	4.711517283326551	0.49766628113326344	-1.018837634668374
French	7	shuffled	1.1506696458662484	4.725022720738849	0.43449826826196214	0.02418483551711206
French	8	shuffled	1.156419311634974	4.716910405977828	0.956424115604323	-0.6023277551271532
French	9	shuffled	1.1462803287669456	4.731812754321424	0.036058056524969184	0.5485778917161247
French	10	shuffled	1.1460117485540926	4.73158526031156	0.011677690637408547	0.5310085707917567
French	11	shuffled	1.1339901332875137	4.735101639096702	-1.0795843038530746	0.8025778635602503
French	12	shuffled	1.1466461006722422	4.730721031224127	0.06926099723229193	0.46426431586231287
French	13	shuffled	1.1584245002209272	4.72459594616782	1.138445087588041	-0.008774886830078278
French	14	shuffled	1.1613900042952043	4.731386723910236	1.407638687533136	0.5156756406978662
French	15	shuffled	1.1415380822126835	4.73866008737564	-0.3944193226302906	1.0773961756680772
French	16	shuffled	1.1389614875428038	4.717917880430471	-0.628309675639952	-0.5245206867468619
French	17	shuffled	1.1354208622642576	4.719190684719607	-0.9497098966195119	-0.42622224344665827
French	18	shuffled	1.1439710865424124	4.6978034104093345	-0.1735633811791257	-2.0779575409144657
French	19	shuffled	1.155099104725117	4.7083768423403765	0.836582347784991	-1.2613733197317216
French	20	shuffled	1.147607382942966	4.74475856046762	0.15652138485547937	1.5483801412051084
French	21	shuffled	1.1480377518427514	4.714929725483628	0.19558811703181625	-0.7552953487444323
French	22	shuffled	1.1366274507008058	4.735446992369578	-0.8401818444735336	0.8292494338889442
French	23	shuffled	1.1577689336439638	4.6926705648231835	1.0789360387260916	-2.474366270147696
French	24	shuffled	1.1342579761635567	4.73667083159056	-1.0552708697063913	0.9237663138987832
French	25	shuffled	1.1353939960410813	4.735179248667664	-0.9521486777348408	0.80857163658243425
French	26	shuffled	1.136556480381766	4.724723780746163	-0.8466241744090378	0.0010977543593453244
French	27	shuffled	1.1279860453168802	4.746494572154753	-1.6246053237941407	1.6824520074399463
French	28	shuffled	1.1536914894108201	4.747871062053676	0.7088060830075541	1.7887580714888234
French	29	shuffled	1.1386038431604393	4.734235959290446	-0.6607748405419137	0.7357215698804557
French	30	shuffled	1.1585297016504885	4.7144334816915	1.1479947462071658	-0.7936201663774427
French	31	shuffled	1.1597571484467948	4.726043378304198	1.25941621573231	0.10301003328928912
French	32	shuffled	1.147950770006807	4.747044456126884	0.18769234182422273	1.7249194463993627
French	33	shuffled	1.1485661694040055	4.712556330446935	0.24355521538182448	-0.9385922149121222
French	34	shuffled	1.1412977582399304	4.727186772959741	-0.4162347286314713	0.19131419417009057
French	35	shuffled	1.1361111733361493	4.73118742452026	-0.8870469166100265	0.5002837851293709
French	36	shuffled	1.138120495799831	4.713308068864889	-0.7046506919206791	-0.880535593886707
French	37	shuffled	1.129211587468568	4.744274707582489	-1.5133567483634298	1.5110122710615115
French	38	shuffled	1.1510456660890873	4.706256132004676	0.46863149988223335	-1.4251553924897435
French	39	shuffled	1.1294737244655795	4.735802080692989	-1.489561265323494	0.8566728403963553
French	40	shuffled	1.1463979513891256	4.724297872301625	0.04673524876835645	-0.03179507719682024
French	41	shuffled	1.1375695825739522	4.737357014442805	-0.7546598339812298	0.9767600905310095
French	42	shuffled	1.165301600233388	4.727336248575462	1.7627137660885293	0.2028581687324671
French	43	shuffled	1.1485695407527212	4.719368554906186	0.24386124952466576	-0.4124853613513308
French	44	shuffled	1.1620806791513907	4.702671753114796	1.4703346900579972	-1.7019763209551528
French	45	shuffled	1.154395263065602	4.711685675627733	0.772691128831827	-1.0058327279350834
French	46	shuffled	1.1451052633845074	4.723649377632306	-0.07060849072856304	-0.08187820232974816
French	47	shuffled	1.1204290261268859	4.712176099807282	-2.310593658207283	-0.9679573579211098
French	48	shuffled	1.1348243943212828	4.715994507432916	-1.0038542676267876	-0.6730624328416908
French	49	shuffled	1.144402704626462	4.7180928867187	-0.1343832543148484	-0.511004982999238
French	50	shuffled	1.1539107281703727	4.72829166211114	0.7287074790108062	0.2766445819828862
French	51	shuffled	1.14224273106987	4.711130728317728	-0.3304548303173062	-1.0486912075558832
