language	i	lex.type	seq.H	bag.H	seq.H.scaled	bag.H.scaled
Spanish	1	original	1.6880947681646203	4.02329864525669	5.629491363934168	-1.923592612121604
Spanish	2	shuffled	1.5585302940248242	4.052000979167942	-0.3744763282588671	1.6983513850992893
Spanish	3	shuffled	1.5728428920248396	4.032405633794936	0.28876393535475753	-0.7743828450395918
Spanish	4	shuffled	1.578248825633037	4.0257904266724855	0.5392728109184166	-1.609155020766425
Spanish	5	shuffled	1.5622257104759765	4.040983528022854	-0.20323215712923026	0.30806057589147584
Spanish	6	shuffled	1.5404125244424791	4.030887164559082	-1.2140467733920688	-0.9659982917406673
Spanish	7	shuffled	1.5664866496006793	4.040287780966505	-0.005781883719296647	0.22026434015266932
Spanish	8	shuffled	1.5811354227443388	4.035926914917069	0.6730366062156885	-0.33003281196313555
Spanish	9	shuffled	1.5594806861438761	4.038192184720258	-0.3304355245155064	-0.04417869323134279
Spanish	10	shuffled	1.5723372476334168	4.041448939517431	0.26533256954250656	0.3667907953305588
Spanish	11	shuffled	1.5634193910437686	4.048872359102054	-0.14791746063233596	1.303551202568317
Spanish	12	shuffled	1.5351055000561018	4.0452054909532595	-1.459972233816587	0.8408295604470579
Spanish	13	shuffled	1.5611887690949617	4.032523228434174	-0.25128362024552464	-0.7595435919318283
Spanish	14	shuffled	1.5599958066366741	4.036041538135743	-0.3065650398253222	-0.31556852205201097
Spanish	15	shuffled	1.585640855107742	4.0316653662510715	0.8818166018806082	-0.8677971156396396
Spanish	16	shuffled	1.5614922272076266	4.030378276904178	-0.2372214885040116	-1.0302147625210296
Spanish	17	shuffled	1.5560258820864903	4.040213278091683	-0.49052981024557085	0.2108628315132358
Spanish	18	shuffled	1.5916945789091999	4.0389820009581126	1.162343824815158	0.055488120988344505
Spanish	19	shuffled	1.5523011797710422	4.052386670379477	-0.6631310770161046	1.7470217117953197
Spanish	20	shuffled	1.541797419014903	4.029187407922233	-1.1498712937698112	-1.180490373346508
Spanish	21	shuffled	1.5646498272271585	4.032667649120623	-0.0908995231041253	-0.741319163215487
Spanish	22	shuffled	1.57338528006364	4.042410629611408	0.31389798759562343	0.4881463503818078
Spanish	23	shuffled	1.5654989158027166	4.046311490226495	-0.05155308644155257	0.9803954731359947
Spanish	24	shuffled	1.5584915735603213	4.040793659856575	-0.37627061962959774	0.2841011352674406
Spanish	25	shuffled	1.566432962284052	4.0493620412023885	-0.008269733237079961	1.3653441267722064
Spanish	26	shuffled	1.564704254137316	4.044930603827413	-0.08837740110779309	0.80614158773891
Spanish	27	shuffled	1.5886640535876868	4.0437838137285365	1.0219104518436042	0.6614282857635072
Spanish	28	shuffled	1.5735089699009703	4.055550017453658	0.3196297268869211	2.1462040912452034
Spanish	29	shuffled	1.5469612761067946	4.031795695851552	-0.9105801504787391	-0.8513508393340029
Spanish	30	shuffled	1.5724509425335134	4.037929500727422	0.2706011473025692	-0.07732675408102424
Spanish	31	shuffled	1.5680670011806743	4.043034593771609	0.0674509981458257	0.5668843112567198
Spanish	32	shuffled	1.5462966937825768	4.034287646587436	-0.9413766387128564	-0.5368918814976007
Spanish	33	shuffled	1.5536661355291042	4.03682467633976	-0.5998795543507599	-0.21674440810346
Spanish	34	shuffled	1.5742969621392464	4.029897807083491	0.35614498287602636	-1.0908451902856615
Spanish	35	shuffled	1.5590967277259407	4.037766712787503	-0.3482280093130201	-0.09786894426085323
Spanish	36	shuffled	1.548371291915106	4.022961599634286	-0.8452405624875955	-1.96612435788947
Spanish	37	shuffled	1.567853488281722	4.03681781182637	0.057556892869772704	-0.21761064020659887
Spanish	38	shuffled	1.584181275776888	4.038071330200267	0.8141802593969025	-0.059429310291749374
Spanish	39	shuffled	1.5529928370115187	4.044796906252513	-0.6310799476192333	0.7892703071542244
Spanish	40	shuffled	1.5587527190586081	4.041275953033248	-0.364169238096694	0.34496165210041874
Spanish	41	shuffled	1.58700917975303	4.043962475475991	0.9452242374788918	0.6839735897699869
Spanish	42	shuffled	1.5764525161480911	4.028772778450295	0.4560325231435607	-1.2328124155748357
Spanish	43	shuffled	1.5684127898411262	4.053250808630624	0.08347471112319403	1.8560672117602315
Spanish	44	shuffled	1.5687019558551296	4.046619847457956	0.09687455253252594	1.019307034368003
Spanish	45	shuffled	1.5701360359882643	4.050183077069705	0.16332927204203201	1.4689505422060396
Spanish	46	shuffled	1.5494711623488744	4.0348113042167535	-0.7942729913706974	-0.47081158945689217
Spanish	47	shuffled	1.5464769446822118	4.028585159567721	-0.9330238816389607	-1.256488019363901
Spanish	48	shuffled	1.5609155115525397	4.028991567645129	-0.2639462692258285	-1.205203433903395
Spanish	49	shuffled	1.5556382844561925	4.04139921894892	-0.5084909347384459	0.36051656288609524
Spanish	50	shuffled	1.5787118784145817	4.031273680939127	0.5607304979783383	-0.9172238371314779
Spanish	51	shuffled	1.5584764223415917	4.039858493753353	-0.37697272125393605	0.1660926393575834
