language	i	lex.type	seq.H	bag.H	seq.H.scaled	bag.H.scaled
Cantonese	1	original	1.5129528644466137	4.798476217401892	1.7605712221743282	-0.8058494092680083
Cantonese	2	shuffled	1.4323731062559997	4.794358973243466	-0.3606682226213632	-0.991467541818086
Cantonese	3	shuffled	1.3914976826181	4.786616411223274	-1.4367022402258807	-1.34052624420283
Cantonese	4	shuffled	1.4887958500621836	4.805112066189908	1.1246446206135063	-0.5066847708543453
Cantonese	5	shuffled	1.440450722923614	4.809450422816938	-0.14802723833408754	-0.31109820264037275
Cantonese	6	shuffled	1.3944894289261311	4.786558327979134	-1.3579453610800618	-1.3431448169410043
Cantonese	7	shuffled	1.4307363718403194	4.821885155702176	-0.4037547952440143	0.24949811084114795
Cantonese	8	shuffled	1.4327906920686182	4.852073703298083	-0.3496753936875993	1.610491438789384
Cantonese	9	shuffled	1.4568312347865422	4.78604891158185	0.283185124048432	-1.366110887622217
Cantonese	10	shuffled	1.4426235655767536	4.842023801172071	-0.0908277673171714	1.1574106903174362
Cantonese	11	shuffled	1.498499767903592	4.831195316636093	1.380097525368561	0.6692290327389361
Cantonese	12	shuffled	1.4058929866097034	4.824525309835999	-1.0577499160630266	0.3685244452308102
Cantonese	13	shuffled	1.3838884335196178	4.805312407546711	-1.6370135801382502	-0.4976527613131616
Cantonese	14	shuffled	1.3991914012990412	4.8406277567848495	-1.234167262340146	1.094472680779481
Cantonese	15	shuffled	1.4201952734186165	4.8029246385575775	-0.6812462430428037	-0.6053007908372069
Cantonese	16	shuffled	1.4069394525832453	4.818496973252439	-1.0302019939724378	0.09674834064062006
Cantonese	17	shuffled	1.438543340194521	4.804104349560548	-0.19823855159843792	-0.5521157610225229
Cantonese	18	shuffled	1.47468628345209	4.786906551451167	0.7532142525612336	-1.3274458231233721
Cantonese	19	shuffled	1.4259926432860652	4.79216390881537	-0.5286321137001492	-1.090427852232635
Cantonese	20	shuffled	1.4453360989132416	4.786690806157839	-0.01942109102670271	-1.3371722898843823
Cantonese	21	shuffled	1.4049622403652793	4.871780523953552	-1.0822515488688431	2.4989360167194015
Cantonese	22	shuffled	1.4115260843194073	4.782357136698324	-0.9094602050174058	-1.5325475460538112
Cantonese	23	shuffled	1.4474598038876805	4.822711578983031	0.036484844434560564	0.28675583474231964
Cantonese	24	shuffled	1.4429036570684672	4.8403849185708285	-0.08345443766570873	1.083524781149551
Cantonese	25	shuffled	1.4052031823280615	4.836048596348864	-1.075908819542811	0.8880299302237992
Cantonese	26	shuffled	1.444423265747201	4.851195486602496	-0.04345116708802129	1.5708987071619556
Cantonese	27	shuffled	1.4848079833285452	4.81824402375591	1.0196651517502253	0.08534459304427522
Cantonese	28	shuffled	1.4845189947477726	4.835939512535248	1.012057608734517	0.8831120936817223
Cantonese	29	shuffled	1.411660728121584	4.820080553135439	-0.9059157448379773	0.16814103179902404
Cantonese	30	shuffled	1.449840586731321	4.835964178779053	0.09915828241481506	0.8842241244323652
Cantonese	31	shuffled	1.4240860183166029	4.8473219342936575	-0.5788234791555874	1.3962669587799281
Cantonese	32	shuffled	1.4325190782233206	4.81505566411743	-0.3568255516842889	-0.058396545256122735
Cantonese	33	shuffled	1.4352514790509376	4.845022327284603	-0.2848958692841149	1.2925935446720442
Cantonese	34	shuffled	1.4906675889212728	4.809537237013556	1.173917619036569	-0.3071843494815505
Cantonese	35	shuffled	1.4190697490986357	4.784896354590207	-0.7108753538422232	-1.4180717304127883
Cantonese	36	shuffled	1.4708740324436094	4.822702942167414	0.6528578182130211	0.2863664603150604
Cantonese	37	shuffled	1.4408610028499063	4.811318790867556	-0.13722673480068046	-0.22686637787421368
Cantonese	38	shuffled	1.521593673957486	4.800319073473892	1.988038099477059	-0.7227677436001728
Cantonese	39	shuffled	1.4076861275796249	4.775772187649968	-1.0105459849407856	-1.829417466384331
Cantonese	40	shuffled	1.4717541938694334	4.823278915885038	0.6760278199128157	0.31233314136421736
Cantonese	41	shuffled	1.4635474030522386	4.832507038986458	0.4599863625105721	0.7283655434073121
Cantonese	42	shuffled	1.4731522538018493	4.821248473164677	0.7128313539692693	0.2207944879588657
Cantonese	43	shuffled	1.5082780877200996	4.806322393063989	1.637509041168062	-0.4521194826427287
Cantonese	44	shuffled	1.4275630684567726	4.774739251934336	-0.4872911132801141	-1.8759854111557384
Cantonese	45	shuffled	1.4801672090019715	4.829794455080039	0.8974980743480246	0.606073850293974
Cantonese	46	shuffled	1.5200596438604534	4.828441726252207	1.9476551891234228	0.5450886404770916
Cantonese	47	shuffled	1.413516948540492	4.831004007509745	-0.8570512649830203	0.6606042241519174
Cantonese	48	shuffled	1.504012598928196	4.838748898321055	1.5252212497935065	1.009767915660856
Cantonese	49	shuffled	1.3704519354813214	4.813012927809429	-1.9907256075599724	-0.15048943170964146
Cantonese	50	shuffled	1.4730937879323414	4.810782924957551	0.7112922564172363	-0.2510248745980134
Cantonese	51	shuffled	1.491546744301681	4.821813585219167	1.1970611368740722	0.2462714915563611
