b0	b1	r	R2	lex.type	i	r.z	R2.z	og.greater.r	og.greater.R2	language
-5.234430850901707e-16	-0.45100274041044935	-0.4510027404104496	0.20340347185773527	og	1	-0.16632520867393835	0.08537986497594705	0.421875	0.578125	Hungarian
1.5049929773103811e-16	-0.44520007795249145	-0.4452000779524914	0.19820310940890445	nonce	2	-0.08879453047918388	0.005496136380142888	0.421875	0.578125	Hungarian
5.003767692721789e-17	-0.39479239247153936	-0.39479239247153936	0.155861033153402	nonce	3	0.5847138925734416	-0.6449283217338998	0.421875	0.578125	Hungarian
-5.150809843906029e-16	-0.3478638868501115	-0.34786388685011155	0.12100928377446721	nonce	4	1.211736211010332	-1.1802924844956224	0.421875	0.578125	Hungarian
8.172357122665269e-16	-0.4339122019979414	-0.4339122019979417	0.18827979904270262	nonce	5	0.06202531893911972	-0.14693766796820984	0.421875	0.578125	Hungarian
-2.2169145649105592e-16	-0.5415907315694773	-0.5415907315694772	0.29332052052196156	nonce	6	-1.3766917329627182	1.4666122660451604	0.421875	0.578125	Hungarian
-4.9129329425515953e-17	-0.31526063399642573	-0.31526063399642573	0.0993892673478283	nonce	7	1.6473556052824536	-1.512401552172385	0.421875	0.578125	Hungarian
-2.6622392833072703e-16	-0.48443129143505453	-0.48443129143505487	0.23467367612143505	nonce	8	-0.6129715974279676	0.5657272513582874	0.421875	0.578125	Hungarian
-1.8318170962696788e-16	-0.41336936530276236	-0.41336936530276214	0.17087423217080838	nonce	9	0.33650278037357206	-0.41430779721047506	0.421875	0.578125	Hungarian
6.336901069680328e-17	-0.3710742186449315	-0.3710742186449315	0.13769607574294646	nonce	10	0.9016177475953724	-0.9239635893732573	0.421875	0.578125	Hungarian
-5.345121986845633e-17	-0.49149598605857187	-0.4914959860585716	0.24156830431168752	nonce	11	-0.7073645712341365	0.6716369091058807	0.421875	0.578125	Hungarian
3.397360123736685e-16	-0.3935712416642718	-0.39357124166427176	0.1548983222651566	nonce	12	0.6010299631619836	-0.6597167015957903	0.421875	0.578125	Hungarian
2.715541383395352e-17	-0.4116058868570598	-0.41160588685706007	0.16941940609538683	nonce	13	0.36006501251575024	-0.43665564940473944	0.421875	0.578125	Hungarian
3.60353082358621e-16	-0.413223683658279	-0.4132236836582788	0.17075381273611726	nonce	14	0.3384492655912038	-0.4161575824000994	0.421875	0.578125	Hungarian
-4.2964854747267474e-17	-0.508898623092517	-0.5088986230925171	0.2589778085854597	nonce	15	-0.9398851187232472	0.9390675215060192	0.421875	0.578125	Hungarian
-1.492508390740982e-17	-0.4992022173369146	-0.4992022173369144	0.2492028537940919	nonce	16	-0.8103292605753433	0.7889126345585836	0.421875	0.578125	Hungarian
-2.856389791106412e-16	-0.2825708062496784	-0.2825708062496782	0.07984626054459319	nonce	17	2.0841317461725883	-1.8126052911957256	0.421875	0.578125	Hungarian
-4.1539456337160507e-16	-0.5775559250254706	-0.5775559250254703	0.3335708465320267	nonce	18	-1.8572307717662704	2.0849049620866786	0.421875	0.578125	Hungarian
1.0022040560868557e-16	-0.45419743752903996	-0.4541974375290401	0.20629531225794645	nonce	19	-0.20901027540420417	0.1298019597714336	0.421875	0.578125	Hungarian
-1.8945798606251808e-16	-0.5094406799364064	-0.5094406799364067	0.25952980637406836	nonce	20	-0.9471276621300646	0.9475468615452143	0.421875	0.578125	Hungarian
-1.436904588455488e-16	-0.4902494271147112	-0.4902494271147115	0.2403445007863028	nonce	21	-0.6907090168179628	0.6528378369953586	0.421875	0.578125	Hungarian
7.740450894087343e-17	-0.5669339302305366	-0.5669339302305363	0.32141408124664256	nonce	22	-1.7153079102868931	1.8981626439855905	0.421875	0.578125	Hungarian
1.3502904123431313e-16	-0.527177440190632	-0.527177440190632	0.2779160534459473	nonce	23	-1.184112505113974	1.2299814005676994	0.421875	0.578125	Hungarian
-2.574890663865091e-16	-0.3516696227018918	-0.35166962270189134	0.12367152353129066	nonce	24	1.160886918335396	-1.139397327613075	0.421875	0.578125	Hungarian
-2.552973073028235e-16	-0.40988219746619725	-0.40988219746619714	0.16800341579971867	nonce	25	0.3830956141471486	-0.45840693800941723	0.421875	0.578125	Hungarian
1.8867265618036023e-16	-0.4111533172771793	-0.4111533172771793	0.16904705030802888	nonce	26	0.3661118964612999	-0.44237547546514544	0.421875	0.578125	Hungarian
-4.820710726438387e-18	-0.43883362887162863	-0.4388336288716285	0.19257495382864223	nonce	27	-0.0037309724128831516	-0.08095900156311908	0.421875	0.578125	Hungarian
-4.9368349488923314e-17	-0.3050443525354139	-0.3050443525354138	0.09305205701374988	nonce	28	1.7838576396571129	-1.6097486112212909	0.421875	0.578125	Hungarian
4.1103317025132114e-16	-0.5801940169337368	-0.5801940169337364	0.3366250972857049	nonce	29	-1.8924789110936677	2.131821872334966	0.421875	0.578125	Hungarian
-1.3711062205651476e-16	-0.3178447949545763	-0.3178447949545761	0.10102531367971652	nonce	30	1.6128280495093223	-1.4872699421292999	0.421875	0.578125	Hungarian
-4.0532194564790817e-16	-0.3178493132100742	-0.3178493132100742	0.10102818590811587	nonce	31	1.6127676800813981	-1.487225821298074	0.421875	0.578125	Hungarian
-1.6266767546819717e-16	-0.31129174823764755	-0.3112917482376477	0.09690255252085105	nonce	32	1.7003847805593209	-1.5506004381708167	0.421875	0.578125	Hungarian
-1.399674836490211e-17	-0.5692184220377329	-0.5692184220377327	0.3240096119871263	nonce	33	-1.7458315191346525	1.9380330713404157	0.421875	0.578125	Hungarian
-1.7605549930482044e-16	-0.5225488650836596	-0.5225488650836594	0.2730573164002206	nonce	34	-1.122269072083197	1.1553454429208485	0.421875	0.578125	Hungarian
4.180613329016603e-17	-0.43872270705447475	-0.4387227070544745	0.1924776136852063	nonce	35	-0.002248921066134641	-0.08245426149475342	0.421875	0.578125	Hungarian
-1.8558687189159647e-16	-0.37173973076508743	-0.37173973076508726	0.13819042742929957	nonce	36	0.8927256904756722	-0.9163697617637242	0.421875	0.578125	Hungarian
-1.0307937108491427e-16	-0.5538313574998773	-0.5538313574998772	0.3067291725501569	nonce	37	-1.5402414890941727	1.6725850477493964	0.421875	0.578125	Hungarian
1.77037087429054e-16	-0.4689818393909123	-0.4689818393909123	0.21994396567848357	nonce	38	-0.406547993884227	0.3394614472153349	0.421875	0.578125	Hungarian
-5.008764208470934e-16	-0.4129558202604268	-0.4129558202604267	0.1705325094869619	nonce	39	0.34202824869585424	-0.41955706250688923	0.421875	0.578125	Hungarian
-3.560943846050041e-16	-0.4971864686959804	-0.49718646869598027	0.247194384654379	nonce	40	-0.7833963896158339	0.7580601689413178	0.421875	0.578125	Hungarian
-3.249741553749942e-16	-0.45852746840403535	-0.45852746840403574	0.210247439281014	nonce	41	-0.266864791805071	0.19051131332002166	0.421875	0.578125	Hungarian
-1.4171592104303966e-16	-0.28864126307631083	-0.2886412630763109	0.08331377875028807	nonce	42	2.0030230071875503	-1.759340103245794	0.421875	0.578125	Hungarian
5.470303168890706e-17	-0.3975148918582881	-0.39751489185828814	0.15801808924910646	nonce	43	0.548337965941702	-0.6117933844269972	0.421875	0.578125	Hungarian
-3.325976347260559e-16	-0.422675242198231	-0.4226752421982312	0.17865436036733334	nonce	44	0.21216486616091443	-0.29479581022743423	0.421875	0.578125	Hungarian
2.1463588033009065e-17	-0.41531860213482846	-0.4153186021348283	0.17248954127922783	nonce	45	0.3104585886517152	-0.389494735489302	0.421875	0.578125	Hungarian
-3.467216789390573e-16	-0.5438719114263212	-0.5438719114263212	0.2957966560385203	nonce	46	-1.4071710900969185	1.5046486413012121	0.421875	0.578125	Hungarian
-2.264182841702131e-16	-0.4716292894767481	-0.47162928947674804	0.2224341866923422	nonce	47	-0.4419211699269069	0.3777141923983894	0.421875	0.578125	Hungarian
5.388126986136883e-17	-0.45335852033977814	-0.45335852033977786	0.2055339479646728	nonce	48	-0.1978013141551248	0.11810650216345824	0.421875	0.578125	Hungarian
3.174535581015289e-17	-0.4453869644589294	-0.445386964458929	0.19836954810993926	nonce	49	-0.0912915631248937	0.0080528320243651	0.421875	0.578125	Hungarian
-5.4757126799278284e-17	-0.45399235454355974	-0.4539923545435593	0.2061090579840049	nonce	50	-0.20627011550937396	0.12694087344990207	0.421875	0.578125	Hungarian
3.060444645752111e-16	-0.5065399321047502	-0.5065399321047501	0.2565827028166848	nonce	51	-0.9083701179355267	0.9022758591798532	0.421875	0.578125	Hungarian
4.926165100841088e-16	-0.5071215545625495	-0.5071215545625495	0.2571722711019368	nonce	52	-0.916141306408611	0.9113323265609586	0.421875	0.578125	Hungarian
4.713957698512169e-16	-0.41966870096662323	-0.41966870096662334	0.17612181857101314	nonce	53	0.25233593976650764	-0.3336986527706992	0.421875	0.578125	Hungarian
1.0079240334358716e-16	-0.4528345050575921	-0.4528345050575919	0.20505908897075426	nonce	54	-0.19079982811201093	0.11081210540463332	0.421875	0.578125	Hungarian
1.4714886189070878e-16	-0.3799592984302027	-0.3799592984302023	0.14436906846357153	nonce	55	0.7829021982147965	-0.8214585150325183	0.421875	0.578125	Hungarian
5.0281236618550595e-17	-0.4427626238559004	-0.44276262385590065	0.19603874108376182	nonce	56	-0.0562271580796252	-0.027751125434448805	0.421875	0.578125	Hungarian
-2.1910445445337016e-16	-0.4273097394530758	-0.42730973945307565	0.18259361343145544	nonce	57	0.15024230598045346	-0.2342842159412958	0.421875	0.578125	Hungarian
-3.912442622899811e-16	-0.40620013029332935	-0.4062001302933292	0.16499854585031762	nonce	58	0.4322925417884551	-0.5045653005977034	0.421875	0.578125	Hungarian
-3.073454769967036e-17	-0.5050155404497996	-0.5050155404497993	0.25504069609580293	nonce	59	-0.8880023781782937	0.8785888089798176	0.421875	0.578125	Hungarian
-1.3673716980859794e-16	-0.40919987585880274	-0.4091998758588027	0.16744453840285953	nonce	60	0.39221226660651665	-0.4669919569822895	0.421875	0.578125	Hungarian
5.782698555714699e-16	-0.5202716347630008	-0.520271634763001	0.2706825739389655	nonce	61	-1.0918424855902735	1.1188665851246034	0.421875	0.578125	Hungarian
1.6994982442247815e-16	-0.4147568327932275	-0.41475683279322756	0.17202323034866931	nonce	62	0.3179645151740467	-0.3966578238671839	0.421875	0.578125	Hungarian
-2.6746218128864072e-17	-0.4129430805416464	-0.4129430805416465	0.17052198776722471	nonce	63	0.3421984669438042	-0.41971868858817024	0.421875	0.578125	Hungarian
2.51878979723398e-16	-0.4470959048406752	-0.4470959048406752	0.19989474812530206	nonce	64	-0.11412509992823999	0.03148171131506737	0.421875	0.578125	Hungarian
-3.798784489371598e-17	-0.2998704642078098	-0.2998704642078098	0.08992229530420731	nonce	65	1.852987125276756	-1.6578254592169241	0.421875	0.578125	Hungarian
