b	t	p	lex.type	language	b.z	b.less
0.10308207072102062	1.3028753375292614	0.204980231204963	og	Georgian_stops	2.262273249446598	0
-0.013658600597485157	-0.3357262117050953	0.7399946033187432	nonce	Georgian_stops	0.4018786923203826	0
0.006127690316943032	0.1018549954338044	0.9199978444237334	nonce	Georgian_stops	0.7171956037889473	0
-0.10388014862172627	-1.1560895954615569	0.2701431541901377	nonce	Georgian_stops	-1.0359036588009132	0
-0.050888689410605724	-1.034645410198199	0.318376818379089	nonce	Georgian_stops	-0.19142485653693467	0
-0.09838712540156018	-0.8800727857408623	0.3947982285007883	nonce	Georgian_stops	-0.948366124661815	0
0.005192915753014621	0.06552945034619652	0.9483442956753982	nonce	Georgian_stops	0.7022989144755223	0
0.051569468653484225	0.8996841912964063	0.3808561632965637	nonce	Georgian_stops	1.4413617074152159	0
-0.0983149759589012	-1.163812130873651	0.26541592107885686	nonce	Georgian_stops	-0.9472163417377795	0
-0.05044656652023209	-0.7540318863085149	0.46178378916340557	nonce	Georgian_stops	-0.1843791285182229	0
-0.07763752758481493	-1.6136158640655984	0.12501801822513478	nonce	Georgian_stops	-0.6176978288156219	0
-0.015111420327610552	-0.15690390658211148	0.8779295501032252	nonce	Georgian_stops	0.37872636770305446	0
-0.003444301954316239	-0.06455488623579449	0.9492399406564426	nonce	Georgian_stops	0.5646550870934427	0
-0.08723168284878959	-1.0894738744446506	0.2877354050556855	nonce	Georgian_stops	-0.7705915378523358	0
-0.16117002445845577	-1.661925245869059	0.11599170413517419	nonce	Georgian_stops	-1.9488825887772465	0
0.00576444642629921	0.10288831982841434	0.9191297977063073	nonce	Georgian_stops	0.7114069017930561	0
-0.057799579654001926	-0.9480700293113065	0.35637721750423856	nonce	Georgian_stops	-0.3015577043996389	0
0.026768879075236857	0.4924261454007828	0.6300504894319989	nonce	Georgian_stops	1.0461362787468218	0
-0.1281283562251725	-1.5718254441409187	0.1355545385898898	nonce	Georgian_stops	-1.4223262563071413	0
0.024153026253746757	0.3889693025101113	0.7010380980685462	nonce	Georgian_stops	1.0044497071657315	0
0.03300042225896357	0.42115667287226866	0.6825494596811681	nonce	Georgian_stops	1.1454429633029897	0
-0.13514057238440733	-1.9473893377644125	0.06819989890708515	nonce	Georgian_stops	-1.5340738471740871	0
-0.034077071971975924	-0.5134461778548799	0.6138839966819085	nonce	Georgian_stops	0.07648727062553035	0
0.01319901988848094	0.25429251520182644	0.8017430106260702	nonce	Georgian_stops	0.829885233700724	0
-0.016101814210403704	-0.14368684784123584	0.8872607758279026	nonce	Georgian_stops	0.36294332167334226	0
0.027407667393090605	0.5141562030985961	0.6125112014878149	nonce	Georgian_stops	1.0563160926563082	0
-0.04933806316851227	-0.9186002215548205	0.3674450997198222	nonce	Georgian_stops	-0.16671387459425632	0
-0.11879492737475757	-1.3519199772721138	0.20133267296695054	nonce	Georgian_stops	-1.2735875173867308	0
-0.019584449564011404	-0.6482785135978386	0.5245628636358477	nonce	Georgian_stops	0.3074435906616016	0
-0.020389053386651115	-0.3744984505069367	0.7124090061265708	nonce	Georgian_stops	0.29462131925117	0
-0.08119379178665102	-1.1500685203529113	0.27687591801704714	nonce	Georgian_stops	-0.6743709187514161	0
-0.01625154442284759	-0.2423001465780865	0.8116260667184911	nonce	Georgian_stops	0.36055720148813303	0
-0.14222594814554265	-1.4635284765875518	0.16269142882790744	nonce	Georgian_stops	-1.6469873189944315	0
