b	t	p	lex.type	language	b.z	b.less
0.06653690236474197	16.70274588296492	2.930303094724389e-61	og	Spanish	-3.73428311166811	1
0.0872144195458515	12.757968117190888	2.3349134525453206e-36	nonce	Spanish	-0.5801933758715649	1
0.0992381237519955	14.490655959992	4.6915648607142086e-46	nonce	Spanish	1.2538683100981034	1
0.09808776415780601	14.206719008078517	2.0612790192627556e-44	nonce	Spanish	1.0783957252259255	1
0.09076770061631843	13.033009002034657	8.028563920557735e-38	nonce	Spanish	-0.03818597456718234	1
0.08634292172892816	12.573473959010718	2.2338410018101326e-35	nonce	Spanish	-0.7131291773534878	1
0.08772854607905962	12.630279601787166	1.0805327143551527e-35	nonce	Spanish	-0.5017699748854035	1
0.08926480985346558	12.804542347016456	1.2994961891778032e-36	nonce	Spanish	-0.2674326625335796	1
0.09047316831294985	12.84079492082917	8.54866794737862e-37	nonce	Spanish	-0.08311309549657747	1
0.09506164996045303	13.583960441731316	7.708938056803766e-41	nonce	Spanish	0.6168008613155249	1
0.09655294002642355	13.619543170909182	4.793521084410118e-41	nonce	Spanish	0.8442780119315619	1
0.08937940412173193	12.599394502767268	1.624645197762816e-35	nonce	Spanish	-0.24995277836014454	1
0.08701830298283375	12.60508963416569	1.4936265192547065e-35	nonce	Spanish	-0.6101084393202415	1
0.09654916121480013	14.459142458793133	6.820822252897733e-46	nonce	Spanish	0.8437016027403358	1
0.08698746354979894	12.605087335786438	1.4908090998522605e-35	nonce	Spanish	-0.6148125988351825	1
0.10325845461100144	15.121738940150998	6.47672400010134e-50	nonce	Spanish	1.8671181594795034	1
0.0889033850327594	12.78758692678409	1.7229847251828367e-36	nonce	Spanish	-0.32256337804776725	1
0.08129320463197118	11.612234995379723	1.5459692907338024e-30	nonce	Spanish	-1.4833986794743268	1
0.09528146534848808	14.130217683954895	5.856086476312922e-44	nonce	Spanish	0.6503308762152283	1
0.08918230326122242	12.543488586373428	3.237551988799539e-35	nonce	Spanish	-0.2800179837522907	1
0.08824738518270828	12.881603016192013	5.071002920290344e-37	nonce	Spanish	-0.42262773179041885	1
0.09736120862646565	13.443778847858413	4.65299676403791e-40	nonce	Spanish	0.9675690082746072	1
0.09687492321391543	14.518320773887234	2.8988192515699564e-46	nonce	Spanish	0.8933924127501955	1
0.0905219925484634	13.612304828170586	5.05960804440474e-41	nonce	Spanish	-0.07566558529781613	1
0.08762170007153913	12.456625459341835	8.766080155463884e-35	nonce	Spanish	-0.518067961373796	1
0.0956214993460978	13.863229714250929	1.958287908007758e-42	nonce	Spanish	0.7021986963354551	1
0.09809234527148818	13.961143702209597	5.473308979912489e-43	nonce	Spanish	1.0790945152942337	1
0.09033278901307668	13.335324695655633	1.775307893685111e-39	nonce	Spanish	-0.1045261551482845	1
0.08726199989921468	12.780617559968444	1.796671311802395e-36	nonce	Spanish	-0.5729356039227416	1
0.09636091045453743	13.630840567288196	4.078812925679349e-41	nonce	Spanish	0.8149863665009035	1
0.09308202655230106	13.41399598231053	6.449569853256894e-40	nonce	Spanish	0.31483472980632304	1
0.08876434405250798	12.887974304233538	4.790540930084007e-37	nonce	Spanish	-0.3437722942259012	1
0.08833008645884835	12.481982166824707	6.712495774799027e-35	nonce	Spanish	-0.4100127140430761	1
