language	i	lex.type	seq.H	seq.H.scaled
Russian	1	original	1.1874170839847238	4.738818652503797
Russian	2	shuffled	1.158203664922819	0.8301980676580003
Russian	3	shuffled	1.1401223382349912	-1.5889999571813658
Russian	4	shuffled	1.1545090946686225	0.3358816263982357
Russian	5	shuffled	1.1616888410832882	1.2964985460017984
Russian	6	shuffled	1.154277089363145	0.30484038775168076
Russian	7	shuffled	1.1507942959089703	-0.16114129549146333
Russian	8	shuffled	1.1506521717506095	-0.18015685165747433
Russian	9	shuffled	1.1538446671682712	0.24698429467860022
Russian	10	shuffled	1.154181932755479	0.2921088730077281
Russian	11	shuffled	1.1466987151109003	-0.7091110959558915
Russian	12	shuffled	1.1562326160911602	0.5664808348057991
Russian	13	shuffled	1.1724667194112945	2.7385289021384884
Russian	14	shuffled	1.154978016409665	0.39862119022117004
Russian	15	shuffled	1.151381372637833	-0.08259313984921494
Russian	16	shuffled	1.14836965839998	-0.485546599038653
Russian	17	shuffled	1.150182010090421	-0.24306231093713085
Russian	18	shuffled	1.1509014810627627	-0.14680041681461356
Russian	19	shuffled	1.1553456677445735	0.4478112412940737
Russian	20	shuffled	1.1409452654451622	-1.4788960961205295
Russian	21	shuffled	1.1521192061004284	0.016125570685048482
Russian	22	shuffled	1.1452159850958845	-0.9074935258309585
Russian	23	shuffled	1.1453853111184902	-0.8848384858267705
Russian	24	shuffled	1.131636472099533	-2.724369664746661
Russian	25	shuffled	1.1380908443713937	-1.860804456217201
Russian	26	shuffled	1.1505012126449374	-0.2003544829805832
Russian	27	shuffled	1.1442767333597477	-1.0331610713667003
Russian	28	shuffled	1.14896194947231	-0.40630078831641264
Russian	29	shuffled	1.147393487686716	-0.6161537332498961
Russian	30	shuffled	1.1415208031386435	-1.4018918101337134
Russian	31	shuffled	1.1541397515000287	0.2864652157898475
Russian	32	shuffled	1.1464618569339131	-0.740801626403534
Russian	33	shuffled	1.1387323723593503	-1.774970973523228
Russian	34	shuffled	1.1614876637791043	1.2695819515877487
Russian	35	shuffled	1.1582021269821179	0.8299922982932603
Russian	36	shuffled	1.1531342954995158	0.15193984536218938
Russian	37	shuffled	1.1568454611723706	0.6484766770132628
Russian	38	shuffled	1.1450096989101082	-0.9350936650130973
Russian	39	shuffled	1.1511003572140979	-0.12019170602672573
Russian	40	shuffled	1.1550560880354248	0.409066813271675
Russian	41	shuffled	1.1467523006491125	-0.7019415983608823
Russian	42	shuffled	1.1521177874974515	0.015935768156787346
Russian	43	shuffled	1.1643483592540864	1.652329797596339
Russian	44	shuffled	1.1565297685773377	0.6062384654292504
Russian	45	shuffled	1.1608302597890658	1.181624333118681
Russian	46	shuffled	1.1579422367411376	0.795220184028118
Russian	47	shuffled	1.159910791603847	1.0586037353501714
Russian	48	shuffled	1.142221868615516	-1.3080924863222252
Russian	49	shuffled	1.1319212252890685	-2.686271002763279
Russian	50	shuffled	1.1504863124014935	-0.20234806675524883
Russian	51	shuffled	1.144642842510713	-0.9841773573847511
Russian	52	shuffled	1.1459383643807426	-0.8108425129221547
Russian	53	shuffled	1.1513874628694045	-0.08177829498506559
