word	phones	freq	word.length	freq.rank	unig.p	unig.h	min.pairs	min.pairs.2	min.pairs.3	mean.dist	mean.dist.nonmp	mean.dist.all	scaled.unig.h	network	language
Ruidoso	Ruidoso	2.8442965830664204	7	8436	2.898516634304182e-6	18.3962538042019	0	1	13	2.7333333333333334	6.561001712328767	6.559597688850845	1.0765020242088332	1	Spanish
Tisma	Tisma	2.8442965830664204	5	8435	2.898516634304182e-6	18.3962538042019	1	17	153	2.872093023255814	4.820729237002026	4.817813765182186	1.1735581513936235	18	Spanish
entretener	entretener	2.8442965830664204	10	8437	2.898516634304182e-6	18.3962538042019	0	0	6	2.5714285714285716	8.533909574468085	8.531073446327683	1.0200457222147101	0	Spanish
id	id	2.837989938758069	2	8441	2.8920897681527314e-6	18.399456236240248	2	34	90	2.677165354330709	2.725806451612903	2.677165354330709	0.8233210699152614	36	Spanish
telematiko	telematiko	2.837989938758069	10	8440	2.8920897681527314e-6	18.399456236240248	0	0	6	2.5714285714285716	8.425199468085106	8.422399468261881	1.0214403880805256	0	Spanish
minuskulo	minuskulo	2.837989938758069	9	8439	2.8920897681527314e-6	18.399456236240248	0	1	1	1.6666666666666667	8.22552227535867	8.223452440865627	1.0580196924209877	1	Spanish
meditaTion	meditaTion	2.837989938758069	10	8438	2.8920897681527314e-6	18.399456236240248	1	1	21	2.75	8.087795144662454	8.082751744765703	1.0214403880805256	2	Spanish
bigia	bigia	2.831683294449718	5	8442	2.885662902001281e-6	18.402665792716135	1	16	171	2.888888888888889	4.700877785280216	4.69804318488529	1.1759054911399673	17	Spanish
asekible	asekible	2.825376650141367	8	8446	2.879236035849831e-6	18.405882505399678	0	0	6	2.5714285714285716	7.27800739612791	7.276424532405394	1.0847433539411877	0	Spanish
estatiko	estatiko	2.825376650141367	8	8445	2.879236035849831e-6	18.405882505399678	0	5	30	2.7777777777777777	6.897541875135958	6.896041757285777	1.0847433539411877	5	Spanish
Resfriado	Resfriado	2.825376650141367	9	8444	2.879236035849831e-6	18.405882505399678	0	1	2	2	7.559275106972062	7.55737292400604	1.0606716652711405	1	Spanish
ligado	ligado	2.825376650141367	6	8443	2.879236035849831e-6	18.405882505399678	2	8	88	2.8484848484848486	5.5108964834076275	5.50730017322445	1.103922481829626	10	Spanish
aflorar	aflorar	2.825376650141367	7	8447	2.879236035849831e-6	18.405882505399678	3	9	84	2.814432989690722	6.022702934247162	6.018189599828804	1.0802683493976695	12	Spanish
kafikultor	kafikultor	2.8190700058330154	10	8448	2.87280916969838e-6	18.409106406273967	0	0	2	2	8.701462765957446	8.69857095380525	1.0256430573594326	0	Spanish
doNa	doNa	2.8190700058330154	4	8449	2.87280916969838e-6	18.409106406273967	0	65	351	2.8369304556354917	3.9833134684147793	3.9809410363311497	1.1794393932749994	65	Spanish
abstinenTia	abstinenTia	2.812763361524664	11	8450	2.8663823035469292e-6	18.41233752753698	0	0	0	0	9.197588126159555	9.193324061196106	1.0720036879029653	0	Spanish
sobrekarga	sobrekarga	2.812763361524664	10	8451	2.8663823035469292e-6	18.41233752753698	2	0	0	0.6666666666666666	8.790086493679308	8.781987371219675	1.0270502174427307	2	Spanish
maniatar	maniatar	2.812763361524664	8	8452	2.8663823035469292e-6	18.41233752753698	0	0	25	2.8846153846153846	6.55144659560583	6.5500217485863415	1.0873078217181504	0	Spanish
gratar	gratar	2.812763361524664	6	8453	2.8663823035469292e-6	18.41233752753698	4	28	214	2.8421052631578947	5.2212586719524285	5.215788171244742	1.10645878467031	32	Spanish
kanoa	kanoa	2.806456717216313	5	8454	2.859955437395479e-6	18.415575901603525	1	58	387	2.859060402684564	4.403781228899392	4.401147098515519	1.1806317023073336	59	Spanish
faraon	faraon	2.806456717216313	6	8455	2.859955437395479e-6	18.415575901603525	0	5	83	2.9101123595505616	5.497524752475248	5.496164315763425	1.107731204372283	5	Spanish
frankés	frankes	2.806456717216313	7	8456	2.859955437395479e-6	18.415575901603525	0	2	19	2.772727272727273	6.64576198630137	6.64433982452386	1.0840599804326372	2	Spanish
popar	popar	2.8001500729079614	5	8458	2.8535285712440284e-6	18.418821561107176	5	78	379	2.8034557235421165	4.549019607843137	4.541497975708502	1.1818198930751598	83	Spanish
litar	litar	2.8001500729079614	5	8457	2.8535285712440284e-6	18.418821561107176	6	81	375	2.7926565874730023	4.491376394994927	4.482793522267206	1.1818198930751598	87	Spanish
automatiTar	automatiTar	2.7938434285996103	11	8460	2.847101705092578e-6	18.422074538902265	0	0	0	0	9.119666048237477	9.115438108484005	1.0764790618499989	0	Spanish
enkaRilar	enkaRilar	2.7938434285996103	9	8462	2.847101705092578e-6	18.422074538902265	0	2	14	2.7058823529411766	7.512459098917694	7.510568696527428	1.0673537434991607	2	Spanish
desaliento	desaliento	2.7938434285996103	10	8459	2.847101705092578e-6	18.422074538902265	0	1	6	2.5	8.116688829787234	8.113991359255566	1.0312907063035763	1	Spanish
subalternar	subalternar	2.7938434285996103	11	8461	2.847101705092578e-6	18.422074538902265	0	0	0	0	9.511595547309833	9.507185906351413	1.0764790618499989	0	Spanish
inmexorable	inmexorable	2.7875367842912593	11	8464	2.840674838941128e-6	18.425334868065853	1	0	1	1.3333333333333333	9.786078886310905	9.777468706536856	1.0779775906747158	1	Spanish
adobe	adobe	2.7875367842912593	5	8465	2.840674838941128e-6	18.425334868065853	0	5	98	2.923076923076923	4.910563617954775	4.9089068825910935	1.184204324093759	5	Spanish
ebasibo	ebasibo	2.7875367842912593	7	8463	2.840674838941128e-6	18.425334868065853	0	5	16	2.6363636363636362	6.235873287671233	6.234538840145516	1.087877259674054	5	Spanish
trompeta	trompeta	2.7875367842912593	8	8466	2.840674838941128e-6	18.425334868065853	0	0	5	2.5	7.265172938873178	7.2635928664636795	1.0924714385522258	0	Spanish
peNon	peNon	2.781230139982908	5	8467	2.834247972789677e-6	18.428602581899764	0	20	151	2.866279069767442	4.885926425919676	4.884278002699055	1.1854005886449177	20	Spanish
nordiko	nordiko	2.781230139982908	7	8469	2.834247972789677e-6	18.428602581899764	0	0	31	2.90625	6.346104452054795	6.344746415578857	1.0891554458665393	0	Spanish
